hrg_code,hrg_description
AA19A,"Minor Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC"
AA19B,"Minor Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, without CC"
AA20A,"Minor Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC"
AA20B,"Minor Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, without CC"
AA21A,Minor Intracranial Procedures Except Trauma with Other Diagnoses with CC
AA21B,Minor Intracranial Procedures Except Trauma with Other Diagnoses without CC
AA22A,"Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC"
AA22B,"Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, without CC"
AA23A,Haemorrhagic Cerebrovascular Disorders with CC
AA23B,Haemorrhagic Cerebrovascular Disorders without CC
AA24A,"Brain Tumours or Cerebral Cysts, with CC"
AA24B,"Brain Tumours or Cerebral Cysts, without CC"
AA25A,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC"
AA25B,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, without CC"
AA26A,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC"
AA26B,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, without CC"
AA27A,Medical Care of Patients with Alzheimer's Disease with CC
AA27B,Medical Care of Patients with Alzheimer's Disease without CC
AA28A,Motor Neuron Disease with CC
AA28B,Motor Neuron Disease without CC
AA29A,Transient Ischaemic Attack with CC
AA29B,Transient Ischaemic Attack without CC
AA30A,Medical Care of Patients with Multiple Sclerosis with CC
AA30B,Medical Care of Patients with Multiple Sclerosis without CC
AA31A,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC"
AA31B,"Headache, Migraine or Cerebrospinal Fluid Leak, without CC"
AA32Z,Neuropsychology Tests with length of stay 2 days or less
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies with length of stay 2 days or less, 19 years and over"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies with length of stay 2 days or less, 18 years and under"
AA34C,"Neurophysiological Operations, 19 years and over"
AA34D,"Neurophysiological Operations, 18 years and under"
AB02Z,Complex Major Pain Procedures
AB03Z,Complex Pain Procedures
AB04Z,Major Pain Procedures
AB05Z,Intermediate Pain Procedures
AB06Z,Minor Pain Procedures
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device
AB08Z,Pain Radiofrequency Treatments
AB09Z,Other Specified Pain Procedures
AB10Z,Unspecified Pain Procedures
AB11Z,Cognitive Behavioural Therapy
BZ01Z,Enhanced Cataract Surgery
BZ02Z,Phacoemulsification Cataract Extraction and Lens Implant
BZ03Z,Non-Phacoemulsification Cataract Surgery
BZ04Z,Lens Capsulotomy
BZ05Z,Major Oculoplastics Procedures
BZ06A,"Intermediate Oculoplastics Procedures, 19 years and over"
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under"
BZ07A,"Minor Oculoplastics Procedures, 19 years and over"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under"
BZ08A,"Major Orbits or Lacrimal Procedures, 19 years and over"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under"
BZ09A,"Intermediate Orbits or Lacrimal Procedures, 19 years and over"
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under"
BZ10A,"Minor Orbits or Lacrimal Procedures, 19 years and over"
BZ10B,"Minor Orbits or Lacrimal Procedures, 18 years and under"
BZ11Z,Major Cornea or Sclera Procedures
BZ12Z,Intermediate Cornea or Sclera Procedures
BZ13Z,Minor Cornea or Sclera Procedures
BZ14A,"Major Ocular Motility Procedures, 19 years and over"
BZ14B,"Major Ocular Motility Procedures, 18 years and under"
BZ15A,"Intermediate Ocular Motility Procedures, 19 years and over"
BZ15B,"Intermediate Ocular Motility Procedures, 18 years and under"
BZ16A,"Minor Ocular Motility Procedures, 19 years and over"
BZ16B,"Minor Ocular Motility Procedures, 18 years and under"
BZ17Z,Major Glaucoma Procedures
BZ18Z,Intermediate Glaucoma Procedures
BZ19Z,Minor Glaucoma Procedures
BZ20Z,Complex Vitreous Retinal Procedures
BZ21Z,Major Vitreous Retinal Procedures
BZ22Z,Intermediate Vitreous Retinal Procedures
BZ23Z,Minor Vitreous Retinal Procedures
BZ24A,Non-Surgical Ophthalmology with length of stay 2 days or more
BZ24C,Non-Surgical Ophthalmology with length of stay 1 day or less
CZ01S,"Minor Mouth or Throat Procedures, 18 years and under with CC"
CZ01T,"Minor Mouth or Throat Procedures, 18 years and under without CC"
CZ01V,"Minor Mouth or Throat Procedures, 19 years and over with CC"
CZ01Y,"Minor Mouth or Throat Procedures, 19 years and over without CC"
CZ02S,"Intermediate Mouth or Throat Procedures, 18 years and under with CC"
CZ02T,"Intermediate Mouth or Throat Procedures, 18 years and under without CC"
CZ02W,"Intermediate Mouth or Throat Procedures, 19 years and over with Major CC"
CZ02X,"Intermediate Mouth or Throat Procedures, 19 years and over with Intermediate CC"
CZ02Y,"Intermediate Mouth or Throat Procedures, 19 years and over without CC"
CZ03U,"Major Mouth or Throat Procedures, 18 years and under"
CZ03V,"Major Mouth or Throat Procedures, 19 years and over with CC"
CZ03Y,"Major Mouth or Throat Procedures, 19 years and over without CC"
CZ04O,"Complex Major Mouth or Throat Procedures, with Major CC"
CZ04P,"Complex Major Mouth or Throat Procedures, with Intermediate CC"
CZ04Q,"Complex Major Mouth or Throat Procedures, without CC"
CZ05S,"Tonsillectomy, 18 years and under with CC"
CZ05T,"Tonsillectomy, 18 years and under without CC"
CZ05V,"Tonsillectomy, 19 years and over with CC"
CZ05Y,"Tonsillectomy, 19 years and over without CC"
CZ07O,Exteriorisation of Trachea with Major CC
CZ07P,Exteriorisation of Trachea with Intermediate CC
CZ07Q,Exteriorisation of Trachea without CC
CZ08S,"Minor Ear Procedures, 18 years and under with CC"
CZ08T,"Minor Ear Procedures, 18 years and under without CC"
CZ08V,"Minor Ear Procedures, 19 years and over with CC"
CZ08Y,"Minor Ear Procedures, 19 years and over without CC"
CZ09U,"Intermediate Ear Procedures, 18 years and under"
CZ09V,"Intermediate Ear Procedures, 19 years and over with CC"
CZ09Y,"Intermediate Ear Procedures, 19 years and over without CC"
CZ10U,"Major Ear Procedures, 18 years and under"
CZ10V,"Major Ear Procedures, 19 years and over with CC"
CZ10Y,"Major Ear Procedures, 19 years and over without CC"
CZ11Z,Complex Major Ear Procedures
CZ12U,"Minor Nose Procedures, 18 years and under"
CZ12V,"Minor Nose Procedures, 19 years and over with CC"
CZ12Y,"Minor Nose Procedures, 19 years and over without CC"
CZ13U,"Intermediate Nose Procedures, 18 years and under"
CZ13V,"Intermediate Nose Procedures, 19 years and over with CC"
CZ13Y,"Intermediate Nose Procedures, 19 years and over without CC"
CZ14U,"Major Nose Procedures, 18 years and under"
CZ14V,"Major Nose Procedures, 19 years and over with CC"
CZ14Y,"Major Nose Procedures, 19 years and over without CC"
CZ15N,Complex Major Nose Procedures with CC
CZ15Q,Complex Major Nose Procedures without CC
CZ16N,Minor Maxillo-facial Procedures with CC
CZ16Q,Minor Maxillo-facial Procedures without CC
CZ17U,"Intermediate Maxillo-facial Procedures, 18 years and under"
CZ17V,"Intermediate Maxillo-facial Procedures, 19 years and over with CC"
CZ17Y,"Intermediate Maxillo-facial Procedures, 19 years and over without CC"
CZ18R,"Major Maxillo-facial Procedures, 19 years and over"
CZ18U,"Major Maxillo-facial Procedures, 18 years and under"
CZ19Z,Complex Major Maxillo-facial Procedures
CZ20Z,Complex Major Head or Neck Procedures with Reconstruction
CZ21V,"Minor Head, Neck and Ear Disorders, with CC"
CZ21Y,"Minor Head, Neck and Ear Disorders, without CC"
CZ22W,"Intermediate Head, Neck and Ear Disorders, with Major CC"
CZ22X,"Intermediate Head, Neck and Ear Disorders, with Intermediate CC"
CZ22Y,"Intermediate Head, Neck and Ear Disorders, without CC"
CZ23W,"Major Head, Neck and Ear Disorders, with Major CC"
CZ23X,"Major Head, Neck and Ear Disorders, with Intermediate CC"
CZ23Y,"Major Head, Neck and Ear Disorders, without CC"
CZ24O,"Complex Major Head, Neck and Ear Disorders, with Major CC"
CZ24P,"Complex Major Head, Neck and Ear Disorders, with Intermediate CC"
CZ24Q,"Complex Major Head, Neck and Ear Disorders, without CC"
CZ25N,Cochlear Implants with CC
CZ25Q,Cochlear Implants without CC
CZ27Z,Fixture for Bone Anchored Hearing Aids
CZ28Z,Fitting of Bone Anchored Hearing Aids
CZ30U,"Minor Extraction of Tooth, 18 years and under"
CZ30Y,"Minor Extraction of Tooth, 19 years and over"
CZ31U,"Minor Dental Biopsy, 18 years and under"
CZ31Y,"Minor Dental Biopsy, 19 years and over"
CZ32U,"Dental Fitting or Insertion Procedures, 18 years and under"
CZ32Y,"Dental Fitting or Insertion Procedures, 19 years and over"
CZ33U,"Minor Dental Restoration Procedures, 18 years and under"
CZ33Y,"Minor Dental Restoration Procedures, 19 years and over"
CZ34U,"Minor Dental Procedures, 18 years and under"
CZ34Y,"Minor Dental Procedures, 19 years and over"
CZ35U,"Adjustment of Dental Device, 18 years and under"
CZ35Y,"Adjustment of Dental Device, 19 years and over"
CZ36U,"Dental Excision or Biopsy Procedures, 18 years and under"
CZ36Y,"Dental Excision or Biopsy Procedures, 19 years and over"
CZ37U,"Surgical Removal of Tooth, 18 years and under"
CZ37Y,"Surgical Removal of Tooth, 19 years and over"
CZ38U,"Creation of Dental Impression, 18 years and under"
CZ38Y,"Creation of Dental Impression, 19 years and over"
CZ39U,"Intermediate Dental Procedures, 18 years and under"
CZ39Y,"Intermediate Dental Procedures, 19 years and over"
CZ40U,"Major Surgical Removal of Tooth, 18 years and under"
CZ40Y,"Major Surgical Removal of Tooth, 19 years and over"
CZ41U,"Major Dental Procedures, 18 years and under"
CZ41Y,"Major Dental Procedures, 19 years and over"
CZ42U,"Extraction of Multiple Teeth, 18 years and under"
CZ42Y,"Extraction of Multiple Teeth, 19 years and over"
DZ01Z,Lung Transplant
DZ02A,Complex Thoracic Procedures with Major CC
DZ02B,Complex Thoracic Procedures with Intermediate CC
DZ02C,Complex Thoracic Procedures without CC
DZ03A,Major Thoracic Procedures with CC
DZ03B,Major Thoracic Procedures without CC
DZ04A,Intermediate Thoracic Procedures with CC
DZ04B,Intermediate Thoracic Procedures without CC
DZ06Z,Minor Thoracic Procedures
DZ07A,"Fibre Optic Bronchoscopy, 19 years and over"
DZ07B,"Fibre Optic Bronchoscopy, 18 years and under"
DZ08Z,Rigid Bronchoscopy
DZ09A,Pulmonary Embolus with Major CC
DZ09B,Pulmonary Embolus with Intermediate CC
DZ09C,Pulmonary Embolus without CC
DZ10A,Lung Abscess-Empyema with Major CC
DZ10B,Lung Abscess-Empyema with Intermediate CC
DZ10C,Lung Abscess-Empyema without CC
DZ11A,"Lobar, Atypical or Viral Pneumonia, with Major CC"
DZ11B,"Lobar, Atypical or Viral Pneumonia, with Intermediate CC"
DZ11C,"Lobar, Atypical or Viral Pneumonia, without CC"
DZ12A,Bronchiectasis with CC
DZ12B,Bronchiectasis without CC
DZ13A,Cystic Fibrosis with CC
DZ13B,Cystic Fibrosis without CC
DZ14A,"Pulmonary, Pleural or Other Tuberculosis, with CC"
DZ14B,"Pulmonary, Pleural or Other Tuberculosis, without CC"
DZ15A,"Asthma with Intubation, with Major CC"
DZ15B,"Asthma with Intubation, with Intermediate CC"
DZ15C,"Asthma with Intubation, without CC"
DZ15D,"Asthma without Intubation, with Major CC"
DZ15E,"Asthma without Intubation, with Intermediate CC"
DZ15F,"Asthma without Intubation, without CC"
DZ16A,Pleural Effusion with Major CC
DZ16B,Pleural Effusion with Intermediate CC
DZ16C,Pleural Effusion without CC
DZ17A,Respiratory Neoplasms with Major CC
DZ17B,Respiratory Neoplasms with Intermediate CC
DZ17C,Respiratory Neoplasms without CC
DZ18Z,Sleeping Disorders Affecting Breathing
DZ19A,Other Respiratory Diagnoses with Major CC
DZ19B,Other Respiratory Diagnoses with Intermediate CC
DZ19C,Other Respiratory Diagnoses without CC
DZ20Z,Pulmonary Oedema
DZ21A,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home"
DZ21B,"Chronic Obstructive Pulmonary Disease or Bronchitis, with Intubation, with Major CC"
DZ21C,"Chronic Obstructive Pulmonary Disease or Bronchitis, with Intubation, with Intermediate CC"
DZ21D,"Chronic Obstructive Pulmonary Disease or Bronchitis, with Intubation, without CC"
DZ21E,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with Major CC"
DZ21F,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with Intermediate CC"
DZ21G,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, without CC"
DZ21H,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with Major CC"
DZ21J,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with Intermediate CC"
DZ21K,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, without CC"
DZ22A,Unspecified Acute Lower Respiratory Infection with Major CC
DZ22B,Unspecified Acute Lower Respiratory Infection with Intermediate CC
DZ22C,Unspecified Acute Lower Respiratory Infection without CC
DZ23A,Bronchopneumonia with Major CC
DZ23B,Bronchopneumonia with Intermediate CC
DZ23C,Bronchopneumonia without CC
DZ24A,"Inhalation Lung Injury or Foreign Body, with Major CC"
DZ24B,"Inhalation Lung Injury or Foreign Body, with Intermediate CC"
DZ24C,"Inhalation Lung Injury or Foreign Body, without CC"
DZ25A,"Fibrosis or Pneumoconiosis, with CC"
DZ25B,"Fibrosis or Pneumoconiosis, without CC"
DZ26A,"Pneumothorax or Intrathoracic Injuries, with CC"
DZ26B,"Pneumothorax or Intrathoracic Injuries, without CC"
DZ27A,"Respiratory Failure with Intubation, with Major CC"
DZ27B,"Respiratory Failure with Intubation, with Intermediate CC"
DZ27C,"Respiratory Failure with Intubation, without CC"
DZ27D,"Respiratory Failure without Intubation, with Major CC"
DZ27E,"Respiratory Failure without Intubation, with Intermediate CC"
DZ27F,"Respiratory Failure without Intubation, without CC"
DZ28Z,Pleurisy
DZ29A,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC"
DZ29B,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, without CC"
DZ30Z,Chest Physiotherapy
DZ31Z,Complex Lung Function Exercise Testing
DZ32Z,Simple Lung Function Exercise Testing
DZ33Z,Hyperbaric Oxygen Treatment
DZ34Z,Complex Bronchodilator Studies
DZ35Z,Simple Bronchodilator Studies
DZ36Z,Bronchial Reactivity Studies
DZ37A,"Non-Invasive Ventilation Support Assessment, 19 years and over"
DZ37B,"Non-Invasive Ventilation Support Assessment, 18 years and under"
DZ38Z,Oxygen Assessment and Monitoring
DZ39Z,Complex Gas Exchange Studies
DZ40Z,Simple Gas Exchange Studies
DZ41Z,Smoking Cessation Support
DZ42Z,TB Nurse Support
DZ43Z,Complex Airflow Studies
DZ44Z,Simple Airflow Studies
DZ45Z,Lung Volume Studies
DZ46Z,Respiratory Muscle Strength Studies
DZ48Z,Respiratory Drive Studies
DZ49Z,Respiratory Nurse and AHP Education or Support
DZ50Z,Respiratory Sleep Study
DZ51Z,Complex Tuberculosis
DZ52Z,Full Pulmonary Function Testing
EA01Z,Heart and Lung Transplant
EA02Z,Heart Transplant
EA03Z,Pace 1: Single Chamber or Implantable Diagnostic Device
EA05Z,Pace 2: Dual Chamber
EA07Z,Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy
EA09Z,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion"
EA10Z,Percutaneous Interventions: Balloon Valve Intermediate Interventions and Arterial Duct Closure
EA11Z,"Percutaneous Interventions: Other including Septostomy, Embolisations, Non-Coronary Stents and Energy Moderated Perforation"
EA12Z,Implantation of Cardioverter; Defibrillator only
EA14Z,Coronary Artery Bypass Graft (First Time)
EA16Z,"Coronary Artery Bypass Graft (First Time) with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA17Z,Single Cardiac Valve Procedures
EA19Z,"Single Cardiac Valve Procedures with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA20Z,Other Complex Cardiac Surgery and Re-do's
EA22Z,"Other Complex Cardiac Surgery with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA23Z,Major Complex Congenital Surgery
EA24Z,Complex Congenital Surgery
EA25Z,Intermediate Congenital Surgery
EA26Z,Standard Congenital Surgery
EA29Z,"Percutaneous Complex Ablation, including for Atrial Fibrillation or Ventricular Tachycardia"
EA31Z,"Percutaneous Coronary Intervention, 0 to 2 Stents"
EA35Z,Other Percutaneous Interventions
EA36A,"Catheter, 19 years and over"
EA36B,"Catheter, 18 years and under"
EA39Z,"Pacemaker Procedure without Generator Implant, including Re-siting and Removal of Cardiac Pacemaker System"
EA40Z,Other Non-Complex Cardiac Surgery
EA43Z,Implantation of Prosthetic Heart or Ventricular Assist Device
EA44Z,Minor Cardiac Procedures
EA45Z,"Complex Echocardiogram, including Congenital, Transoesophageal and Fetal Echocardiography"
EA47Z,Electrocardiogram Monitoring and Stress Testing
EA48Z,"Single or Dual Chamber, Pacemaker or Implantable Diagnostic Device, with Percutaneous Coronary Intervention, EP or RFA"
EA49Z,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire"
EA51Z,"Coronary Artery Bypass Graft, with Valve Replacement or Repair"
EA52Z,Repair or Replacement of more than one Heart Valve
EA53Z,Transcatheter Aortic Valve Implantation (TAVI)
EA54Z,Percutaneous Standard Ablation
EA55Z,Percutaneous Diagnostic Electrophysiology Studies
EA56Z,Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D)
EB01Z,Non-Interventional Acquired Cardiac Conditions
EB02Z,Endocarditis
EB03H,"Heart Failure or Shock, with CC"
EB03I,"Heart Failure or Shock, without CC"
EB04H,Hypertension with CC
EB04I,Hypertension without CC
EB05Z,Cardiac Arrest
EB06Z,Cardiac Valve Disorders
EB07H,"Arrhythmia or Conduction Disorders, with CC"
EB07I,"Arrhythmia or Conduction Disorders, without CC"
EB08H,"Syncope or Collapse, with CC"
EB08I,"Syncope or Collapse, without CC"
EB09Z,Non-Interventional Congenital Cardiac Conditions
EB10Z,Actual or Suspected Myocardial Infarction
FZ12D,"Major General Abdominal Procedures, 19 years and over with Major CC"
FZ12E,"Major General Abdominal Procedures, 19 years and over with Intermediate CC"
FZ12F,"Major General Abdominal Procedures, 19 years and over without CC"
FZ12H,"Major General Abdominal Procedures, between 2 and 18 years with CC"
FZ12I,"Major General Abdominal Procedures, between 2 and 18 years without CC"
FZ12J,"Major General Abdominal Procedures, 1 year and under with Major CC"
FZ12K,"Major General Abdominal Procedures, 1 year and under without Major CC"
FZ13C,"Minor Therapeutic or Diagnostic General Abdominal Procedures, 19 years and over"
FZ13D,"Minor Therapeutic or Diagnostic General Abdominal Procedures, 18 years and under"
FZ17A,"Abdominal Hernia Procedures, 19 years and over with Major CC"
FZ17B,"Abdominal Hernia Procedures, 19 years and over with Intermediate CC"
FZ17C,"Abdominal Hernia Procedures, 19 years and over without CC"
FZ17D,"Abdominal Hernia Procedures, 18 years and under"
FZ18A,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over with Major CC"
FZ18B,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over with Intermediate CC"
FZ18C,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over without CC"
FZ18E,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years"
FZ18F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under"
FZ19A,"Herniotomy Procedures, 2 years and over"
FZ19B,"Herniotomy Procedures, 1 year and under"
FZ20A,"Appendicectomy Procedures, 19 years and over with Major CC"
FZ20B,"Appendicectomy Procedures, 19 years and over without Major CC"
FZ20D,"Appendicectomy Procedures, 18 years and under with Major CC"
FZ20E,"Appendicectomy Procedures, 18 years and under without Major CC"
FZ21A,"Major Anal Procedures, 19 years and over"
FZ21B,"Major Anal Procedures, 18 years and under"
FZ22A,"Intermediate Anal Procedures, 19 years and over"
FZ22B,"Intermediate Anal Procedures, 18 years and under"
FZ23A,"Minor Anal Procedures, 19 years and over"
FZ23B,"Minor Anal Procedures, 18 years and under"
FZ24A,"Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures, 19 years and over with Major CC"
FZ24B,"Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures, 19 years and over with Intermediate CC"
FZ24C,"Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures, 19 years and over without CC"
FZ24E,"Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures, between 2 and 18 years"
FZ24F,"Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures, 1 year and under"
FZ27A,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over with Major CC"
FZ27B,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over with Intermediate CC"
FZ27C,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over without CC"
FZ27D,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under"
FZ31D,"Disorders of the Oesophagus, with length of stay 2 days or more, with Major CC"
FZ31E,"Disorders of the Oesophagus, with length of stay 2 days or more, without Major CC"
FZ31F,"Disorders of the Oesophagus, with length of stay 1 day or less"
FZ33C,"Small Intestinal Disorders, excluding Inflammatory Bowel Disease, with length of stay 2 days or more, with CC"
FZ33D,"Small Intestinal Disorders, excluding Inflammatory Bowel Disease, with length of stay 2 days or more, without CC"
FZ33E,"Small Intestinal Disorders, excluding Inflammatory Bowel Disease, with length of stay 1 day or less"
FZ36D,"Intestinal Infectious Disorders, with length of stay 2 days or more, with Major CC"
FZ36E,"Intestinal Infectious Disorders, with length of stay 2 days or more, without Major CC"
FZ36F,"Intestinal Infectious Disorders, with length of stay 1 day or less"
FZ37F,"Inflammatory Bowel Disease, with length of stay 1 day or less"
FZ37G,"Inflammatory Bowel Disease, with length of stay 2 days or more, with Interventions, with Major CC"
FZ37H,"Inflammatory Bowel Disease, with length of stay 2 days or more, without Interventions, with Major CC"
FZ37I,"Inflammatory Bowel Disease, with length of stay 2 days or more, with Interventions, without Major CC"
FZ37J,"Inflammatory Bowel Disease, with length of stay 2 days or more, without Interventions, without Major CC"
FZ38D,"Gastrointestinal Bleed, with length of stay 2 days or more, with Major CC"
FZ38E,"Gastrointestinal Bleed, with length of stay 2 days or more, without Major CC"
FZ38F,"Gastrointestinal Bleed, with length of stay 1 day or less"
FZ39D,"Hernia Disorders, with length of stay 2 days or more, with Major CC"
FZ39E,"Hernia Disorders, with length of stay 2 days or more, without Major CC"
FZ39F,"Hernia Disorders, with length of stay 1 day or less"
FZ40A,"Appendix Disorders, with length of stay 2 days or more"
FZ40B,"Appendix Disorders, with length of stay 1 day or less"
FZ41D,"Anal Disorders, with length of stay 2 days or more, with Major CC"
FZ41E,"Anal Disorders, with length of stay 2 days or more, without Major CC"
FZ41F,"Anal Disorders, with length of stay 1 day or less"
FZ42A,"Wireless Capsule Endoscopy, 19 years and over"
FZ42B,"Wireless Capsule Endoscopy, 18 years and under"
FZ43A,"Non-Malignant Stomach or Duodenum Disorders, with length of stay 2 days or more, with Major CC"
FZ43B,"Non-Malignant Stomach or Duodenum Disorders, with length of stay 2 days or more, without Major CC"
FZ43C,"Non-Malignant Stomach or Duodenum Disorders, with length of stay 1 day or less"
FZ44A,"Malignant Stomach or Duodenum Disorders, with length of stay 2 days or more, with Major CC"
FZ44B,"Malignant Stomach or Duodenum Disorders, with length of stay 2 days or more, without Major CC"
FZ44C,"Malignant Stomach or Duodenum Disorders, with length of stay 1 day or less"
FZ45A,"Non-Malignant Large Intestinal Disorders, with length of stay 2 days or more, with Major CC"
FZ45B,"Non-Malignant Large Intestinal Disorders, with length of stay 2 days or more, without Major CC"
