hrg_code,hrg_description
BZ71A,"Very Major Ocular Motility Procedures, 19 years and over"
BZ71B,"Very Major Ocular Motility Procedures, 18 years and under"
BZ72A,"Major Ocular Motility Procedures, 19 years and over"
BZ72B,"Major Ocular Motility Procedures, between 4 and 18 years"
BZ72C,"Major Ocular Motility Procedures, 3 years and under"
BZ73A,"Intermediate Ocular Motility Procedures, 19 years and over"
BZ73B,"Intermediate Ocular Motility Procedures, 18 years and under"
BZ74Z,Minor Ocular Motility Procedures
BZ80A,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+"
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1"
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+"
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1"
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under"
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+"
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1"
BZ84A,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+"
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1"
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under"
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+"
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1"
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under"
BZ87A,"Minor Vitreous Retinal Procedures, 19 years and over"
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years"
BZ87C,"Minor Vitreous Retinal Procedures, 3 years and under"
BZ88A,"Retinal Tomography, 19 years and over"
BZ88B,"Retinal Tomography, 18 years and under"
BZ89A,"Digital Retinal Photography, 19 years and over"
BZ89B,"Digital Retinal Photography, 18 years and under"
BZ90Z,"Very Complex, Glaucoma or Iris Procedures"
BZ91A,"Complex, Glaucoma or Iris Procedures, with CC Score 2+"
BZ91B,"Complex, Glaucoma or Iris Procedures, with CC Score 0-1"
BZ92A,"Very Major, Glaucoma or Iris Procedures, with CC Score 2+"
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1"
BZ93A,"Major, Glaucoma or Iris Procedures, with CC Score 2+"
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1"
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+"
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0"
BZ95Z,"Minor, Glaucoma or Iris Procedures"
CA01A,"Complex Neck Procedures, with CC Score 7+"
CA01B,"Complex Neck Procedures, with CC Score 3-6"
CA01C,"Complex Neck Procedures, with CC Score 0-2"
CA02A,Very Major Neck Procedures with CC Score 2+
CA02B,Very Major Neck Procedures with CC Score 0-1
CA03A,Major Neck Procedures with CC Score 2+
CA03B,Major Neck Procedures with CC Score 0-1
CA04A,"Intermediate Neck Procedures, 19 years and over"
CA04B,"Intermediate Neck Procedures, 18 years and under"
CA05A,"Minor Neck Procedures, 19 years and over"
CA05B,"Minor Neck Procedures, 18 years and under"
CA10A,"Septorhinoplasty, 19 years and over"
CA10B,"Septorhinoplasty, 18 years and under"
CA11A,"Septoplasty, 19 years and over"
CA11B,"Septoplasty, 18 years and under"
CA12Z,Major Treatment of Epistaxis
CA13A,"Minor Treatment of Epistaxis, 19 years and over"
CA13B,"Minor Treatment of Epistaxis, 18 years and under"
CA14Z,Nasal Polypectomy
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose"
CA16Z,"Excision or Biopsy, of Lesion of External Nose"
CA20Z,Complex Nose Procedures
CA21Z,Very Major Nose Procedures
CA22Z,Major Nose Procedures
CA23Z,Intermediate Nose Procedures
CA24A,"Minor Nose Procedures, 19 years and over"
CA24B,"Minor Nose Procedures, 18 years and under"
CA25A,"Minimal Nose Procedures, 19 years and over"
CA25B,"Minimal Nose Procedures, 18 years and under"
CA26Z,Complex Sinus Procedures
CA27Z,Major Sinus Procedures
CA28Z,Intermediate Sinus Procedures
CA29Z,Minor Sinus Procedures
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over"
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under"
CA31Z,"Simple or Cortical, Mastoid Procedures"
CA32A,"Tympanoplasty, 19 years and over"
CA32B,"Tympanoplasty, 18 years and under"
CA33Z,Pinnaplasty
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over"
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under"
CA35A,"Insertion of Grommets, 19 years and over"
CA35B,"Insertion of Grommets, between 2 and 18 years"
CA35C,"Insertion of Grommets, 1 year and under"
CA36A,"Clearance of External Auditory Canal, 19 years and over"
CA36B,"Clearance of External Auditory Canal, 18 years and under"
CA37A,"Audiometry or Hearing Assessment, 19 years and over"
CA37B,"Audiometry or Hearing Assessment, between 5 and 18 years"
CA37C,"Audiometry or Hearing Assessment, 4 years and under"
CA38A,"Evoked Potential Recording, 19 years and over"
CA38B,"Evoked Potential Recording, 18 years and under"
CA39Z,Fixture for Bone Anchored Hearing Aids
CA40Z,Fitting of Bone Anchored Hearing Aids
CA41Z,Bilateral Cochlear Implants
CA42Z,Unilateral Cochlear Implant
CA43Z,Balance Assessment
CA50Z,Complex Ear Procedures
CA51A,"Very Major Ear Procedures, 19 years and over"
CA51B,"Very Major Ear Procedures, 18 years and under"
CA52A,"Major Ear Procedures, 19 years and over"
CA52B,"Major Ear Procedures, 18 years and under"
CA53A,"Intermediate Ear Procedures, 19 years and over"
CA53B,"Intermediate Ear Procedures, 18 years and under"
CA54A,"Minor Ear Procedures, 19 years and over"
CA54B,"Minor Ear Procedures, 18 years and under"
CA55A,"Minimal Ear Procedures, 19 years and over"
CA55B,"Minimal Ear Procedures, 18 years and under"
CA60C,"Tonsillectomy, 4 years and over"
CA60D,"Tonsillectomy, 3 years and under"
CA61Z,Adenotonsillectomy
CA62Z,Adenoidectomy
CA63Z,Tracheostomy
CA64Z,Uvulopalatoplasty or Uvulopalatopharyngoplasty
CA65Z,Frenotomy or Frenectomy
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over"
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under"
CA67A,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 2+"
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over"
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under"
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over"
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years"
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under"
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over"
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under"
CA80A,"Very Complex, Mouth or Throat Procedures, with CC Score 5+"
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4"
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1"
CA81A,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 2+"
CA81B,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1"
CA81C,"Complex, Mouth or Throat Procedures, between 2 and 18 years"
CA81D,"Complex, Mouth or Throat Procedures, 1 year and under"
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+"
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1"
CA82C,"Very Major, Mouth or Throat Procedures, between 2 and 18 years"
CA82D,"Very Major, Mouth or Throat Procedures, 1 year and under"
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+"
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1"
CA83C,"Major, Mouth or Throat Procedures, 18 years and under"
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+"
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1"
CA84C,"Intermediate, Mouth or Throat Procedures, 18 years and under"
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over"
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years"
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under"
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over"
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years"
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under"
CA90Z,Very Complex Maxillofacial Procedures
CA91A,Complex Maxillofacial Procedures with CC Score 1+
CA91B,Complex Maxillofacial Procedures with CC Score 0
CA92A,Very Major Maxillofacial Procedures with CC Score 1+
CA92B,Very Major Maxillofacial Procedures with CC Score 0
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+"
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0"
CA93C,"Major Maxillofacial Procedures, 18 years and under"
CA94Z,Intermediate Maxillofacial Procedures
CA95Z,Minor Maxillofacial Procedures
CA96Z,"Reduction or Fixation, of Jaw"
CA97Z,"Reduction or Fixation, of Cheekbone"
CA98Z,Reduction of Fracture of Nasal Bone
CB01A,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+"
CB01B,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5-8"
CB01C,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4"
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+"
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8"
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4"
CB02A,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+"
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4"
CB02C,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0"
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+"
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4"
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0"
CD01A,"Major Dental Procedures, 19 years and over"
CD01B,"Major Dental Procedures, 18 years and under"
CD02A,"Intermediate Dental Procedures, 19 years and over"
CD02B,"Intermediate Dental Procedures, 18 years and under"
CD03A,"Minor Dental Procedures, 19 years and over"
CD03B,"Minor Dental Procedures, 18 years and under"
CD04A,"Major Surgical Removal of Tooth, 19 years and over"
CD04B,"Major Surgical Removal of Tooth, 18 years and under"
CD05A,"Surgical Removal of Tooth, 19 years and over"
CD05B,"Surgical Removal of Tooth, 18 years and under"
CD06A,"Extraction of Multiple Teeth, 19 years and over"
CD06B,"Extraction of Multiple Teeth, 18 years and under"
CD07A,"Minor Extraction of Tooth, 19 years and over"
CD07B,"Minor Extraction of Tooth, 18 years and under"
CD08Z,Minor Dental Biopsy
CD09A,"Minor Dental Restoration Procedures, 19 years and over"
CD09B,"Minor Dental Restoration Procedures, 18 years and under"
CD10A,"Creation of Dental Impression, 19 years and over"
CD10B,"Creation of Dental Impression, 18 years and under"
CD11A,"Dental Fitting or Insertion Procedures, 19 years and over"
CD11B,"Dental Fitting or Insertion Procedures, 18 years and under"
CD12A,"Adjustment of Dental Device, 19 years and over"
CD12B,"Adjustment of Dental Device, 18 years and under"
DZ01Z,Lung Transplant
DZ02H,"Complex Thoracic Procedures, 19 years and over, with CC Score 6+"
DZ02J,"Complex Thoracic Procedures, 19 years and over, with CC Score 3-5"
DZ02K,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2"
DZ02L,"Complex Thoracic Procedures, between 2 and 18 years"
DZ02M,"Complex Thoracic Procedures, 1 year and under"
DZ09J,"Pulmonary Embolus with Interventions, with CC Score 9+"
DZ09K,"Pulmonary Embolus with Interventions, with CC Score 0-8"
DZ09L,"Pulmonary Embolus without Interventions, with CC Score 12+"
DZ09M,"Pulmonary Embolus without Interventions, with CC Score 9-11"
DZ09N,"Pulmonary Embolus without Interventions, with CC Score 6-8"
DZ09P,"Pulmonary Embolus without Interventions, with CC Score 3-5"
DZ09Q,"Pulmonary Embolus without Interventions, with CC Score 0-2"
DZ10H,"Lung Abscess-Empyema with Interventions, with CC Score 9+"
DZ10J,"Lung Abscess-Empyema with Interventions, with CC Score 5-8"
DZ10K,"Lung Abscess-Empyema with Interventions, with CC Score 0-4"
DZ10L,"Lung Abscess-Empyema without Interventions, with CC Score 9+"
DZ10M,"Lung Abscess-Empyema without Interventions, with CC Score 5-8"
DZ10N,"Lung Abscess-Empyema without Interventions, with CC Score 0-4"
DZ11K,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 14+"
DZ11L,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 9-13"
DZ11M,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 0-8"
DZ11N,"Lobar, Atypical or Viral Pneumonia, with Single Intervention, with CC Score 13+"
DZ11P,"Lobar, Atypical or Viral Pneumonia, with Single Intervention, with CC Score 8-12"
DZ11Q,"Lobar, Atypical or Viral Pneumonia, with Single Intervention, with CC Score 0-7"
DZ11R,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 14+"
DZ11S,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 10-13"
DZ11T,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 7-9"
DZ11U,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 4-6"
DZ11V,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 0-3"
DZ12C,Bronchiectasis with CC Score 8+
DZ12D,Bronchiectasis with CC Score 5-7
DZ12E,Bronchiectasis with CC Score 2-4
DZ12F,Bronchiectasis with CC Score 0-1
DZ13A,Cystic Fibrosis with CC Score 1+
DZ13B,Cystic Fibrosis with CC Score 0
DZ14F,"Pulmonary, Pleural or Other Tuberculosis, with Interventions"
DZ14G,"Pulmonary, Pleural or Other Tuberculosis, without Interventions, with CC Score 7+"
DZ14H,"Pulmonary, Pleural or Other Tuberculosis, without Interventions, with CC Score 3-6"
DZ14J,"Pulmonary, Pleural or Other Tuberculosis, without Interventions, with CC Score 0-2"
DZ15M,Asthma with Interventions
DZ15N,"Asthma without Interventions, with CC Score 9+"
DZ15P,"Asthma without Interventions, with CC Score 6-8"
DZ15Q,"Asthma without Interventions, with CC Score 3-5"
DZ15R,"Asthma without Interventions, with CC Score 0-2"
DZ16H,"Pleural Effusion with Multiple Interventions, with CC Score 11+"
DZ16J,"Pleural Effusion with Multiple Interventions, with CC Score 6-10"
