hrg_code,hrg_description
AA19C,"Minor Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+"
AA19D,"Minor Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4"
AA19E,"Minor Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2"
AA20C,"Minor Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC Score 2+"
AA20D,"Minor Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC Score 0-1"
AA21C,"Minor Intracranial Procedures Except Trauma with Other Diagnoses, with CC Score 8+"
AA21D,"Minor Intracranial Procedures Except Trauma with Other Diagnoses, with CC Score 5-7"
AA21E,"Minor Intracranial Procedures Except Trauma with Other Diagnoses, with CC Score 3-4"
AA21F,"Minor Intracranial Procedures Except Trauma with Other Diagnoses, with CC Score 1-2"
AA21G,"Minor Intracranial Procedures Except Trauma with Other Diagnoses, with CC Score 0"
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4"
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2"
AA27Z,Medical Care of Patients with Alzheimer's Disease
AA28C,Motor Neuron Disease with CC Score 8+
AA28D,Motor Neuron Disease with CC Score 5-7
AA28E,Motor Neuron Disease with CC Score 2-4
AA28F,Motor Neuron Disease with CC Score 0-1
AA29C,Transient Ischaemic Attack with CC Score 11+
AA29D,Transient Ischaemic Attack with CC Score 8-10
AA29E,Transient Ischaemic Attack with CC Score 5-7
AA29F,Transient Ischaemic Attack with CC Score 0-4
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1"
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6"
AA32Z,Neuropsychology Tests
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under"
AA34C,"Neurophysiological Operations, 19 years and over"
AA34D,"Neurophysiological Operations, 18 years and under"
AA35A,Stroke with CC Score 16+
AA35B,Stroke with CC Score 13-15
AA35C,Stroke with CC Score 10-12
AA35D,Stroke with CC Score 7-9
AA35E,Stroke with CC Score 4-6
AA35F,Stroke with CC Score 0-3
AA36Z,Major Intracranial Procedures Except Trauma with Stroke
AA37Z,Intermediate Intracranial Procedures Except Trauma with Stroke
AA38Z,Minor Intracranial Procedures Except Trauma with Stroke
AB02Z,Complex Major Pain Procedures
AB03Z,Complex Pain Procedures
AB04Z,Major Pain Procedures
AB05Z,Intermediate Pain Procedures
AB06Z,Minor Pain Procedures
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device
AB08Z,Pain Radiofrequency Treatments
AB09Z,Other Specified Pain Procedures
AB10Z,Unspecified Pain Procedures
AB11Z,Cognitive Behavioural Therapy
BZ01A,"Enhanced Cataract Surgery, with CC Score 2+"
BZ01B,"Enhanced Cataract Surgery, with CC Score 0-1"
BZ02A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 5+"
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4"
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1"
BZ03A,"Non-Phacoemulsification Cataract Surgery, with CC Score 1+"
BZ03B,"Non-Phacoemulsification Cataract Surgery, with CC Score 0"
BZ04A,"Lens Capsulotomy, with CC Score 1+"
BZ04B,"Lens Capsulotomy, with CC Score 0"
BZ05A,"Major Oculoplastics Procedures, with CC Score 1+"
BZ05B,"Major Oculoplastics Procedures, with CC Score 0"
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under"
BZ06C,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under"
BZ07C,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2"
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under"
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+"
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0"
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under"
BZ09C,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1"
BZ10B,"Minor Orbits or Lacrimal Procedures, 18 years and under"
BZ10C,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+"
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1"
BZ11A,"Major Cornea or Sclera Procedures, with CC Score 1+"
BZ11B,"Major Cornea or Sclera Procedures, with CC Score 0"
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+"
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0"
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+"
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0"
BZ14A,"Major Ocular Motility Procedures, 19 years and over"
BZ14B,"Major Ocular Motility Procedures, 18 years and under"
BZ15B,"Intermediate Ocular Motility Procedures, 18 years and under"
BZ15C,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 1+"
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0"
BZ16A,"Minor Ocular Motility Procedures, 19 years and over"
BZ16B,"Minor Ocular Motility Procedures, 18 years and under"
BZ17A,"Major Glaucoma Procedures, with CC Score 1+"
BZ17B,"Major Glaucoma Procedures, with CC Score 0"
BZ18A,"Intermediate Glaucoma Procedures, with CC Score 1+"
BZ18B,"Intermediate Glaucoma Procedures, with CC Score 0"
BZ19A,"Minor Glaucoma Procedures, with CC Score 1+"
BZ19B,"Minor Glaucoma Procedures, with CC Score 0"
BZ20A,"Complex Vitreous Retinal Procedures, with CC Score 1+"
BZ20B,"Complex Vitreous Retinal Procedures, with CC Score 0"
BZ21A,"Major Vitreous Retinal Procedures, with CC Score 3+"
BZ21B,"Major Vitreous Retinal Procedures, with CC Score 1-2"
BZ21C,"Major Vitreous Retinal Procedures, with CC Score 0"
BZ22A,"Intermediate Vitreous Retinal Procedures, with CC Score 2+"
BZ22B,"Intermediate Vitreous Retinal Procedures, with CC Score 0-1"
BZ23Z,Minor Vitreous Retinal Procedures
BZ24D,"Non-Surgical Ophthalmology, with Interventions"
BZ24E,"Non-Surgical Ophthalmology, without Interventions, with CC Score 5+"
BZ24F,"Non-Surgical Ophthalmology, without Interventions, with CC Score 2-4"
BZ24G,"Non-Surgical Ophthalmology, without Interventions, with CC Score 0-1"
CZ01S,"Minor Mouth or Throat Procedures, 18 years and under with CC"
CZ01T,"Minor Mouth or Throat Procedures, 18 years and under without CC"
CZ01V,"Minor Mouth or Throat Procedures, 19 years and over with CC"
CZ01Y,"Minor Mouth or Throat Procedures, 19 years and over without CC"
CZ02S,"Intermediate Mouth or Throat Procedures, 18 years and under with CC"
CZ02T,"Intermediate Mouth or Throat Procedures, 18 years and under without CC"
CZ02W,"Intermediate Mouth or Throat Procedures, 19 years and over with Major CC"
CZ02X,"Intermediate Mouth or Throat Procedures, 19 years and over with Intermediate CC"
CZ02Y,"Intermediate Mouth or Throat Procedures, 19 years and over without CC"
CZ03U,"Major Mouth or Throat Procedures, 18 years and under"
CZ03V,"Major Mouth or Throat Procedures, 19 years and over with CC"
CZ03Y,"Major Mouth or Throat Procedures, 19 years and over without CC"
CZ04O,"Complex Major Mouth or Throat Procedures, with Major CC"
CZ04P,"Complex Major Mouth or Throat Procedures, with Intermediate CC"
CZ04Q,"Complex Major Mouth or Throat Procedures, without CC"
CZ05S,"Tonsillectomy, 18 years and under with CC"
CZ05T,"Tonsillectomy, 18 years and under without CC"
CZ05V,"Tonsillectomy, 19 years and over with CC"
CZ05Y,"Tonsillectomy, 19 years and over without CC"
CZ07O,Exteriorisation of Trachea with Major CC
CZ07P,Exteriorisation of Trachea with Intermediate CC
CZ07Q,Exteriorisation of Trachea without CC
CZ08S,"Minor Ear Procedures, 18 years and under with CC"
CZ08T,"Minor Ear Procedures, 18 years and under without CC"
CZ08V,"Minor Ear Procedures, 19 years and over with CC"
CZ08Y,"Minor Ear Procedures, 19 years and over without CC"
CZ09U,"Intermediate Ear Procedures, 18 years and under"
CZ09V,"Intermediate Ear Procedures, 19 years and over with CC"
CZ09Y,"Intermediate Ear Procedures, 19 years and over without CC"
CZ10U,"Major Ear Procedures, 18 years and under"
CZ10V,"Major Ear Procedures, 19 years and over with CC"
CZ10Y,"Major Ear Procedures, 19 years and over without CC"
CZ11Z,Complex Major Ear Procedures
CZ12U,"Minor Nose Procedures, 18 years and under"
CZ12V,"Minor Nose Procedures, 19 years and over with CC"
CZ12Y,"Minor Nose Procedures, 19 years and over without CC"
CZ13U,"Intermediate Nose Procedures, 18 years and under"
CZ13V,"Intermediate Nose Procedures, 19 years and over with CC"
CZ13Y,"Intermediate Nose Procedures, 19 years and over without CC"
CZ14U,"Major Nose Procedures, 18 years and under"
CZ14V,"Major Nose Procedures, 19 years and over with CC"
CZ14Y,"Major Nose Procedures, 19 years and over without CC"
CZ15N,Complex Major Nose Procedures with CC
CZ15Q,Complex Major Nose Procedures without CC
CZ16N,Minor Maxillo-facial Procedures with CC
CZ16Q,Minor Maxillo-facial Procedures without CC
CZ17U,"Intermediate Maxillo-facial Procedures, 18 years and under"
CZ17V,"Intermediate Maxillo-facial Procedures, 19 years and over with CC"
CZ17Y,"Intermediate Maxillo-facial Procedures, 19 years and over without CC"
CZ18R,"Major Maxillo-facial Procedures, 19 years and over"
CZ18U,"Major Maxillo-facial Procedures, 18 years and under"
CZ19Z,Complex Major Maxillo-facial Procedures
CZ20Z,Complex Major Head or Neck Procedures with Reconstruction
CZ21V,"Minor Head, Neck and Ear Disorders, with CC"
CZ21Y,"Minor Head, Neck and Ear Disorders, without CC"
CZ22W,"Intermediate Head, Neck and Ear Disorders, with Major CC"
CZ22X,"Intermediate Head, Neck and Ear Disorders, with Intermediate CC"
CZ22Y,"Intermediate Head, Neck and Ear Disorders, without CC"
CZ23W,"Major Head, Neck and Ear Disorders, with Major CC"
CZ23X,"Major Head, Neck and Ear Disorders, with Intermediate CC"
CZ23Y,"Major Head, Neck and Ear Disorders, without CC"
CZ24O,"Complex Major Head, Neck and Ear Disorders, with Major CC"
CZ24P,"Complex Major Head, Neck and Ear Disorders, with Intermediate CC"
CZ24Q,"Complex Major Head, Neck and Ear Disorders, without CC"
CZ25A,Unilateral Cochlear Implant
CZ25B,Bilateral Cochlear Implants
CZ27Z,Fixture for Bone Anchored Hearing Aids
CZ28Z,Fitting of Bone Anchored Hearing Aids
CZ30U,"Minor Extraction of Tooth, 18 years and under"
CZ30Y,"Minor Extraction of Tooth, 19 years and over"
CZ31U,"Minor Dental Biopsy, 18 years and under"
CZ31Y,"Minor Dental Biopsy, 19 years and over"
CZ32U,"Dental Fitting or Insertion Procedures, 18 years and under"
CZ32Y,"Dental Fitting or Insertion Procedures, 19 years and over"
CZ33U,"Minor Dental Restoration Procedures, 18 years and under"
CZ33Y,"Minor Dental Restoration Procedures, 19 years and over"
CZ34U,"Minor Dental Procedures, 18 years and under"
CZ34Y,"Minor Dental Procedures, 19 years and over"
CZ35U,"Adjustment of Dental Device, 18 years and under"
CZ35Y,"Adjustment of Dental Device, 19 years and over"
CZ37U,"Surgical Removal of Tooth, 18 years and under"
CZ37Y,"Surgical Removal of Tooth, 19 years and over"
CZ38U,"Creation of Dental Impression, 18 years and under"
CZ38Y,"Creation of Dental Impression, 19 years and over"
CZ39U,"Intermediate Dental Procedures, 18 years and under"
CZ39Y,"Intermediate Dental Procedures, 19 years and over"
CZ40U,"Major Surgical Removal of Tooth, 18 years and under"
CZ40Y,"Major Surgical Removal of Tooth, 19 years and over"
CZ41U,"Major Dental Procedures, 18 years and under"
CZ41Y,"Major Dental Procedures, 19 years and over"
CZ42U,"Extraction of Multiple Teeth, 18 years and under"
CZ42Y,"Extraction of Multiple Teeth, 19 years and over"
DZ01Z,Lung Transplant
DZ02D,Complex Thoracic Procedures with CC Score 8+
DZ02E,Complex Thoracic Procedures with CC Score 5-7
DZ02F,Complex Thoracic Procedures with CC Score 2-4
DZ02G,Complex Thoracic Procedures with CC Score 0-1
DZ06Z,Minor Thoracic Procedures
DZ07A,"Fibre Optic Bronchoscopy, 19 years and over"
DZ07B,"Fibre Optic Bronchoscopy, 18 years and under"
DZ08Z,Rigid Bronchoscopy
DZ09D,Pulmonary Embolus with CC Score 12+
DZ09E,Pulmonary Embolus with CC Score 9-11
DZ09F,Pulmonary Embolus with CC Score 6-8
DZ09G,Pulmonary Embolus with CC Score 3-5
DZ09H,Pulmonary Embolus with CC Score 0-2
DZ10D,Lung Abscess-Empyema with CC Score 10+
DZ10E,Lung Abscess-Empyema with CC Score 7-9
DZ10F,Lung Abscess-Empyema with CC Score 3-6
DZ10G,Lung Abscess-Empyema with CC Score 0-2
DZ11D,"Lobar, Atypical or Viral Pneumonia, with CC Score 15+"
DZ11E,"Lobar, Atypical or Viral Pneumonia, with CC Score 12-14"
DZ11F,"Lobar, Atypical or Viral Pneumonia, with CC Score 9-11"
DZ11G,"Lobar, Atypical or Viral Pneumonia, with CC Score 6-8"
DZ11H,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5"
DZ11J,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2"
DZ12C,Bronchiectasis with CC Score 8+
DZ12D,Bronchiectasis with CC Score 5-7
DZ12E,Bronchiectasis with CC Score 2-4
DZ12F,Bronchiectasis with CC Score 0-1
DZ13A,Cystic Fibrosis with CC Score 1+
DZ13B,Cystic Fibrosis with CC Score 0
DZ14C,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 5+"
DZ14D,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 2-4"
DZ14E,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 0-1"
DZ15G,Asthma with Intubation
DZ15H,"Asthma without Intubation, with CC Score 9+"
DZ15J,"Asthma without Intubation, with CC Score 6-8"
DZ15K,"Asthma without Intubation, with CC Score 3-5"
DZ15L,"Asthma without Intubation, with CC Score 0-2"
DZ16D,Pleural Effusion with CC Score 12+
DZ16E,Pleural Effusion with CC Score 8-11
DZ16F,Pleural Effusion with CC Score 4-7
DZ16G,Pleural Effusion with CC Score 0-3
DZ17E,Respiratory Neoplasms with CC Score 11+
DZ17F,Respiratory Neoplasms with CC Score 8-10
DZ17G,Respiratory Neoplasms with CC Score 5-7
DZ17H,Respiratory Neoplasms with CC Score 3-4
DZ17J,Respiratory Neoplasms with CC Score 1-2
DZ17K,Respiratory Neoplasms with CC Score 0
DZ18A,Sleeping Disorders Affecting Breathing with CC Score 5+
DZ18B,Sleeping Disorders Affecting Breathing with CC Score 2-4
DZ18C,Sleeping Disorders Affecting Breathing with CC Score 0-1
DZ19D,Other Respiratory Disorders with CC Score 12+
DZ19E,Other Respiratory Disorders with CC Score 9-11
DZ19F,Other Respiratory Disorders with CC Score 6-8
DZ19G,Other Respiratory Disorders with CC Score 0-5
DZ20A,Pulmonary Oedema with CC Score 9+
DZ20B,Pulmonary Oedema with CC Score 4-8
DZ20C,Pulmonary Oedema with CC Score 0-3
DZ21A,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home"
DZ21L,"Chronic Obstructive Pulmonary Disease or Bronchitis, with Intubation"
DZ21M,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 8+"
DZ21N,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 4-7"
DZ21P,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 0-3"
DZ21Q,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 13+"
DZ21R,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 10-12"
DZ21S,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 7-9"
DZ21T,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6"
DZ21U,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3"
DZ22D,Unspecified Acute Lower Respiratory Infection with CC Score 14+
DZ22E,Unspecified Acute Lower Respiratory Infection with CC Score 11-13
DZ22F,Unspecified Acute Lower Respiratory Infection with CC Score 8-10
DZ22G,Unspecified Acute Lower Respiratory Infection with CC Score 5-7
DZ22H,Unspecified Acute Lower Respiratory Infection with CC Score 2-4
DZ22J,Unspecified Acute Lower Respiratory Infection with CC Score 0-1
DZ23D,Bronchopneumonia with CC Score 13+
DZ23E,Bronchopneumonia with CC Score 9-12
DZ23F,Bronchopneumonia with CC Score 5-8
DZ23G,Bronchopneumonia with CC Score 0-4
DZ24D,"Inhalation Lung Injury or Foreign Body, with CC Score 13+"
DZ24E,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12"
DZ24F,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9"
DZ24G,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6"
DZ24H,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3"
DZ25C,"Fibrosis or Pneumoconiosis, with CC Score 8+"
DZ25D,"Fibrosis or Pneumoconiosis, with CC Score 5-7"
DZ25E,"Fibrosis or Pneumoconiosis, with CC Score 2-4"
DZ25F,"Fibrosis or Pneumoconiosis, with CC Score 0-1"
DZ26C,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+"
DZ26D,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7"
DZ26E,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4"
DZ26F,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1"
DZ27G,Respiratory Failure with Intubation
DZ27H,"Respiratory Failure without Intubation, with CC Score 12+"
DZ27J,"Respiratory Failure without Intubation, with CC Score 8-11"
DZ27K,"Respiratory Failure without Intubation, with CC Score 4-7"
DZ27L,"Respiratory Failure without Intubation, with CC Score 0-3"
DZ28A,Pleurisy with CC Score 3+
DZ28B,Pleurisy with CC Score 0-2
DZ29C,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 7+"
DZ29D,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 4-6"
DZ29E,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 2-3"
DZ29F,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1"
DZ30Z,Chest Physiotherapy
DZ31Z,Complex Lung Function Exercise Testing
DZ32Z,Simple Lung Function Exercise Testing
DZ33Z,Hyperbaric Oxygen Treatment
DZ34Z,Complex Bronchodilator Studies
DZ35Z,Simple Bronchodilator Studies
DZ36Z,Bronchial Reactivity Studies
DZ37A,"Non-Invasive Ventilation Support Assessment, 19 years and over"
DZ37B,"Non-Invasive Ventilation Support Assessment, 18 years and under"
DZ38Z,Oxygen Assessment and Monitoring
DZ39Z,Complex Gas Exchange Studies
DZ40Z,Simple Gas Exchange Studies
DZ41Z,Smoking Cessation Support
DZ42Z,TB Nurse Support
DZ43Z,Complex Airflow Studies
DZ44Z,Simple Airflow Studies
DZ45Z,Lung Volume Studies
DZ46Z,Respiratory Muscle Strength Studies
DZ48Z,Respiratory Drive Studies
DZ49Z,Respiratory Nurse and AHP Education or Support
DZ50Z,Respiratory Sleep Study
DZ51Z,Complex Tuberculosis
DZ52Z,Full Pulmonary Function Testing
DZ53A,"Major or Intermediate Thoracic Procedures, with CC Score 9+"
DZ53B,"Major or Intermediate Thoracic Procedures, with CC Score 7-8"
DZ53C,"Major or Intermediate Thoracic Procedures, with CC Score 5-6"
DZ53D,"Major or Intermediate Thoracic Procedures, with CC Score 3-4"
DZ53E,"Major or Intermediate Thoracic Procedures, with CC Score 1-2"
DZ53F,"Major or Intermediate Thoracic Procedures, with CC Score 0"
DZ54Z,Complex Bronchoscopy
EA01Z,Heart and Lung Transplant
EA02Z,Heart Transplant
EA03A,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 11+"
EA03B,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 8-10"
EA03C,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 5-7"
EA03D,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 2-4"
EA03E,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 0-1"
EA05A,"Pace 2: Dual Chamber, with CC Score 9+"
EA05B,"Pace 2: Dual Chamber, with CC Score 5-8"
EA05C,"Pace 2: Dual Chamber, with CC Score 2-4"
