hrg_root,hrg_root_description
HA14,Minor Hip Procedures for Trauma
HA19,"Minimal Hip Procedures for Trauma, with length of stay 1 day or less"
HA21,"Major Knee Procedures for Trauma, Category 2"
HA22,"Major Knee Procedures for Trauma, Category 1"
HA23,"Intermediate Knee Procedures for Trauma, Category 2"
HA24,"Intermediate Knee Procedures for Trauma, Category 1"
HA25,"Minor Knee Procedures for Trauma, Category 2"
HA26,"Minor Knee Procedures for Trauma, Category 1"
HA29,"Minimal Knee Procedures for Trauma, with length of stay 1 day or less"
HA31,Major Foot Procedures for Trauma
HA32,"Intermediate Foot Procedures for Trauma, Category 2"
HA33,"Intermediate Foot Procedures for Trauma, Category 1"
HA34,"Minor Foot Procedures for Trauma, Category 2"
HA35,"Minor Foot Procedures for Trauma, Category 1"
HA39,"Minimal Foot Procedures for Trauma, with length of stay 1 day or less"
HA51,"Major Hand Procedures for Trauma, Category 2"
HA52,"Major Hand Procedures for Trauma, Category 1"
HA53,"Intermediate Hand Procedures for Trauma, Category 2"
HA54,"Intermediate Hand Procedures for Trauma, Category 1"
HA55,"Minor Hand Procedures for Trauma, Category 2"
HA56,"Minor Hand Procedures for Trauma, Category 1"
HA59,"Minimal Hand Procedures for Trauma, with length of stay 1 day or less"
HA61,Major Shoulder and Upper Arm Procedures for Trauma
HA62,Intermediate Shoulder and Upper Arm Procedures for Trauma
HA63,Minor Shoulder and Upper Arm Procedures for Trauma
HA69,"Minimal Shoulder and Upper Arm Procedures for Trauma, with length of stay 1 day or less"
HA71,Major Elbow and Lower Arm Procedures for Trauma
HA72,Intermediate Elbow and Lower Arm Procedures for Trauma
HA73,Minor Elbow and Lower Arm Procedures for Trauma
HA79,"Minimal Elbow and Lower Arm Procedures for Trauma, with length of stay 1 day or less"
HA81,"Sprains, Strains or Minor Open Wounds"
HA83,Head Injury
HA91,Hip Trauma Diagnosis without Procedure
HA92,Knee Trauma Diagnosis without Procedure
HA93,Foot Trauma Diagnosis without Procedure
HA94,Arm Trauma Diagnosis without Procedure
HA95,Hand Trauma Diagnosis without Procedure
HA96,Multiple Trauma Diagnoses without Procedure
HA97,Other Trauma Diagnosis without Procedure
HA99,Other Procedures for Trauma
HB11,"Major Hip Procedures for Non-Trauma, Category 2"
HB12,"Major Hip Procedures for Non-Trauma, Category 1"
HB13,"Intermediate Hip Procedures for Non-Trauma, Category 2"
HB14,"Intermediate Hip Procedures for Non-Trauma, Category 1"
HB15,"Minor Hip Procedures for Non-Trauma, Category 2"
HB16,"Minor Hip Procedures for Non-Trauma, Category 1"
HB19,"Minimal Hip Procedures for Non-Trauma, with length of stay 1 day or less"
HB21,"Major Knee Procedures for Non-Trauma, Category 2"
HB22,"Major Knee Procedures for Non-Trauma, Category 1"
HB23,Intermediate Knee Procedures for Non-Trauma
HB24,"Minor Knee Procedures for Non-Trauma, Category 2"
HB25,"Minor Knee Procedures for Non-Trauma, Category 1"
HB29,"Minimal Knee Procedures for Non-Trauma, with length of stay 1 day or less"
HB31,Major Foot Procedures for Non-Trauma
HB32,"Intermediate Foot Procedures for Non-Trauma, Category 2"
HB33,"Intermediate Foot Procedures for Non-Trauma, Category 1"
HB34,"Minor Foot Procedures for Non-Trauma, Category 2"
HB35,"Minor Foot Procedures for Non-Trauma, Category 1"
HB39,"Minimal Foot Procedures for Non-Trauma, with length of stay 1 day or less"
HB51,"Major Hand Procedures for Non-Trauma, Category 2"
HB52,"Major Hand Procedures for Non-Trauma, Category 1"
HB53,"Intermediate Hand Procedures for Non-Trauma, Category 2"
HB54,"Intermediate Hand Procedures for Non-Trauma, Category 1"
HB55,"Minor Hand Procedures for Non-Trauma, Category 2"
HB56,"Minor Hand Procedures for Non-Trauma, Category 1"
HB59,"Minimal Hand Procedures for Non-Trauma, with length of stay 1 day or less"
HB61,Major Shoulder and Upper Arm Procedures for Non-Trauma
HB62,Intermediate Shoulder and Upper Arm Procedures for Non-Trauma
HB63,Minor Shoulder and Upper Arm Procedures for Non-Trauma
HB69,"Minimal Shoulder and Upper Arm Procedures for Non-Trauma, with length of stay 1 day or less"
HB71,Major Elbow and Lower Arm Procedures for Non-Trauma
HB72,Intermediate Elbow and Lower Arm Procedures for Non-Trauma
HB73,Minor Elbow and Lower Arm Procedures for Non-Trauma
HB79,"Minimal Elbow and Lower Arm Procedures for Non-Trauma, with length of stay 1 day or less"
HB91,Other Non-Trauma Diagnosis without Procedure
HB99,Other Procedures for Non-Trauma
HC01,Extradural Spine Major 2
HC02,Extradural Spine Major 1
HC03,Extradural Spine Intermediate 2
HC04,Extradural Spine Intermediate 1
HC05,Extradural Spine Minor 2
HC06,Extradural Spine Minor 1
HC07,Intradural Spine Major
HC09,Intradural Spine Intermediate 2
HC10,Intradural Spine Intermediate 1
HC11,Intradural Spine Minor 2
HC12,Intradural Spine Minor 1
HC20,Vertebral Column Injury without Procedure
HC21,Spinal Cord Injury without Procedure
HC26,Scoliosis or Other Spinal Deformity
HC27,Degenerative Spinal Conditions
HC28,Spinal Cord Conditions
HC29,Inflammatory Spinal Conditions
HC30,Spinal Tumours
HC31,Spinal Infection
HC32,Low Back Pain
HD21,Soft Tissue Disorders
HD23,"Inflammatory Spine, Joint or Connective Tissue Disorders"
HD24,Non-Inflammatory Bone or Joint Disorders
HD25,Infections of Bones or Joints
HD26,Musculoskeletal Signs and Symptoms
HD39,Pathological Fractures
HD40,Malignancy of Bone or Connective Tissue
HR01,Reconstruction Procedures Category 6
HR02,Reconstruction Procedures Category 5
HR03,Reconstruction Procedures Category 4
HR04,Reconstruction Procedures Category 3
HR05,Reconstruction Procedures Category 2
HR06,Reconstruction Procedures Category 1
JA12,Malignant Breast Disorders
JA13,Non-Malignant Breast Disorders
JA14,Free Perforator Flap Breast Reconstruction
JA18,Unilateral Minor Breast Procedures
JA19,Bilateral Minor Breast Procedures
JA20,Unilateral Major Breast Procedures
JA21,Bilateral Major Breast Procedures
JA24,Unilateral Intermediate Breast Procedures
JA25,Bilateral Intermediate Breast Procedures
JA26,Major Breast Procedures with Lymph Node Surgery
JA27,Mastectomy with Simple Breast Reconstruction
JA28,Mastectomy with Complex Breast Reconstruction
JA30,Unilateral Pedicled Myocutaneous Breast Reconstruction with or without Insertion of Prosthesis
JA31,Bilateral Pedicled Myocutaneous Breast Reconstruction with or without Insertion of Prosthesis
JB01,Major Burn
JB11,Other Burn with Multiple Significant Graft Procedures
JB12,Other Burn with One Significant Graft Procedure
JB13,Other Burn with Other Procedure
JB21,Other Burn without Other Procedure
JC01,Major Multiple Skin Procedures
JC02,Major Skin Procedures Category 2
JC03,Major Skin Procedures Category 1
JC04,Intermediate Skin Procedures Category 2
JC05,Intermediate Skin Procedures Category 1
JC06,Minor Skin Procedures Category 2
JC07,Minor Skin Procedures Category 1
JC09,Patch Tests
JC10,Specified Skin Examinations and Investigations
JC11,Other Diagnostic Skin Tests
JC12,Urticaria Tests
JC13,Photo Tests
JC14,Skin Therapies Level 2
JC15,Skin Therapies Level 3
JC16,Skin Therapies Level 4
JC17,Skin Therapies Level 5
JC18,Electrical and Other Invasive Therapy Level 2
JC19,Electrical and Other Invasive Therapy Level 4
JC20,Electrical and Other Invasive Therapy Level 3
JC27,Nursing Procedures or Dressings
JC30,Minor Laser Therapy
JC46,Photodynamic Therapy
JC47,Phototherapy
JD01,Major Skin Disorders Category 2
JD02,Major Skin Disorders Category 1
JD03,Intermediate Skin Disorders Category 2
JD04,Intermediate Skin Disorders Category 1
JD05,Minor Skin Disorders Category 2
JD06,Minor Skin Disorders Category 1
KA03,Parathyroid Procedures
KA04,Adrenal Procedures
KA05,Anterior Pituitary Disorders
KA06,Non-Pituitary Neoplasia and Hypoplasia
KA07,Non-Surgical Thyroid Disorders
KA08,Other Endocrine Disorders
KA09,Thyroid Procedures
KB01,Diabetes with Hypoglycaemic Disorders
KB02,Diabetes with Hyperglycaemic Disorders
KB03,Diabetes with Lower Limb Complications
KB04,Continuous Subcutaneous Insulin Infusion
KC04,Inborn Errors of Metabolism
KC05,Fluid and Electrolyte Disorders
LA01,Kidney Transplant from Cadaver Non Heart-Beating Donor
LA02,Kidney Transplant from Cadaver Heart-Beating Donor
LA03,Kidney Transplant from Live Donor
LA04,Kidney or Urinary Tract Infections
LA05,Renal Replacement Peritoneal Dialysis Associated Procedures
LA07,Acute Kidney Injury
LA08,Chronic Kidney Disease
LA09,General Renal Disorders
LA10,Live Kidney Donor Screening
LA11,Kidney Pre-Transplantation Work-up of Live Donor
LA12,Kidney Pre-Transplantation Work-up of Recipient
LA13,Examination for Post-Transplantation of Kidney of Recipient
LA14,Examination for Post-Transplantation of Kidney of Live Donor
LB01,Percutaneous Nephrostomy
LB05,Intermediate Percutaneous Kidney or Ureter Procedures
LB06,"Kidney, Urinary Tract or Prostate Neoplasms"
LB09,Intermediate Endoscopic Ureter Procedures
LB10,Major Open Bladder Procedures or Reconstruction
LB12,Intermediate Open Bladder Procedures
LB13,Major Endoscopic Bladder Procedures
LB14,Intermediate Endoscopic Bladder Procedures
LB15,Minor Bladder Procedures
LB16,Urinary Incontinence or Other Urinary Problems
LB17,Introduction of Therapeutic Substance into Bladder
LB18,Attention to Suprapubic Bladder Catheter
LB19,Ureteric or Bladder Disorders
LB20,"Infection or Mechanical Problems Related to Genito-Urinary Prostheses, Implants or Grafts"
LB21,Major Open Prostate or Bladder Neck Procedures (Male)
LB22,Major Laparoscopic Prostate or Bladder Neck Procedures (Male)
LB25,Transurethral Prostate Resection Procedures
LB26,Intermediate Endoscopic Prostate or Bladder Neck Procedures (Male and Female)
LB27,Minor Endoscopic Prostate or Bladder Neck Procedures (Male)
LB28,Non-Malignant Prostate Disorders
LB29,Major Open Urethra Procedures
LB33,Vasectomy Procedures
LB35,"Scrotum, Testis or Vas Deferens Disorders"
LB36,Extracorporeal Lithotripsy
LB37,Miscellaneous Urinary Tract Findings
LB38,Unspecified Haematuria
LB39,Cystectomy with Urinary Diversion and Reconstruction
LB40,Urinary Tract Stone Disease
LB42,Dynamic Studies of Urinary Tract
LB43,Treatment of Erectile Dysfunction
LB46,Live Donation of Kidney
LB47,Major Open Penis Procedures
LB48,Intermediate Open Penis Procedures
LB49,High Intensity Focused Ultrasound (Male and Female)
LB50,Implantation of Artificial Urinary Sphincter (Male and Female)
LB51,Vaginal Tape Operations for Urinary Incontinence
LB52,"Major Open Scrotum, Testis or Vas Deferens Procedures"
LB53,"Intermediate Open Scrotum, Testis or Vas Deferens Procedures"
LB54,"Minor Scrotum, Testis or Vas Deferens Procedures"
LB55,Minor or Intermediate Urethra Procedures
LB56,Minor Penis Procedures
LB57,Urethral Disorders
LB58,Penile Disorders
LB59,Major Open or Laparoscopic Bladder Neck Procedures (Female)
LB60,"Complex Open or Laparoscopic, Kidney or Ureter Procedures"
LB61,"Major Open Kidney or Ureter Procedures, 19 years and over"
LB62,"Major Laparoscopic Kidney or Ureter Procedures, 19 years and over"
LB63,"Major Open or Laparoscopic, Kidney or Ureter Procedures, 18 years and under"
LB64,"Complex Endoscopic Kidney or Ureter Procedures, 19 years and over"
LB65,"Major Endoscopic Kidney or Ureter Procedures, 19 years and over"
LB66,"Complex or Major Endoscopic, Kidney or Ureter Procedures, 18 years and under"
LB67,Complex Open Bladder Procedures
LB68,Complex Endoscopic Bladder Procedures
LB69,Major Robotic Prostate or Bladder Neck Procedures (Male)
LB70,Complex Endoscopic Prostate or Bladder Neck Procedures (Male and Female)
LB71,Total Pelvic Exenteration
LB72,Diagnostic Flexible Cystoscopy
LB73,Diagnostic Flexible Cystoscopy using Photodynamic Fluorescence
LB74,Implantation of Penile Prosthesis
LD01,"Hospital Haemodialysis or Filtration, with Access via Haemodialysis Catheter"
LD02,"Hospital Haemodialysis or Filtration, with Access via Arteriovenous Fistula or Graft"
LD03,"Hospital Haemodialysis or Filtration, with Access via Haemodialysis Catheter, with Blood-borne Virus"
LD04,"Hospital Haemodialysis or Filtration, with Access via Arteriovenous Fistula or Graft, with Blood-borne Virus"
LD05,"Satellite Haemodialysis or Filtration, with Access via Haemodialysis Catheter"
LD06,"Satellite Haemodialysis or Filtration, with Access via Arteriovenous Fistula or Graft"
LD07,"Satellite Haemodialysis or Filtration, with Access via Haemodialysis Catheter, with Blood-borne Virus"
LD08,"Satellite Haemodialysis or Filtration, with Access via Arteriovenous Fistula or Graft, with Blood-borne Virus"
