hrg_root,hrg_root_description
BZ15,Ocular Motility category 2: 19 years and over
BZ16,Ocular Motility category 1: 19 years and over
BZ17,Glaucoma - category 3
BZ18,Glaucoma - category 2
BZ19,Glaucoma - category 1
BZ20,Vitreous Retinal Procedures - category 4
BZ21,Vitreous Retinal Procedures - category 3
BZ22,Vitreous Retinal Procedures - category 2
BZ23,Vitreous Retinal Procedures - category 1
BZ24,Non-Surgical Ophthalmology with length of stay 2 days or more and age 19 years and over
CZ01,Minor Mouth Procedures 18 years and under with CC
CZ02,Intermediate Mouth Procedures 18 years and under with CC
CZ03,Major Mouth Procedures 18 years and under
CZ04,Complex Major Mouth Procedures with Major CC
CZ05,Tonsillectomy 18 years and under with CC
CZ06,Minor Throat Procedures with CC
CZ07,Exteriorisation of Trachea with Major CC
CZ08,Minor Ear Procedures 18 years and under with CC
CZ09,Intermediate Ear Procedures 18 years and under
CZ10,Major Ear Procedures 18 years and under
CZ11,Complex Major Ear Procedures
CZ12,Minor Nose Procedures 18 years and under
CZ13,Intermediate Nose Procedures 18 years and under
CZ14,Major Nose Procedures 18 years and under
CZ15,Complex Major Nose Procedures with CC
CZ16,Minor Maxillo-facial Procedures with CC
CZ17,Intermediate Maxillo-facial Procedures 18 years and under
CZ18,Major Maxillo-facial Procedures 19 years and over
CZ19,Complex Major Maxillo-facial Procedures
CZ20,Complex Major Maxillo-facial Procedures with restoration
CZ21,"Minor Head, Neck and Ear Disorders 18 years and under"
CZ22,"Intermediate Head, Neck and Ear Disorders 18 years and under with CC"
CZ23,"Major Head, Neck and Ear Disorders 18 years and under"
CZ24,"Complex/Major Head, Neck and Ear Disorders with Major CC"
CZ25,Cochlea Implants with CC
CZ26,Bone Anchored Hearing Aids
DZ01,Lung Transplant
DZ02,Complex Thoracic Procedures with Major CC
DZ03,Major Thoracic Procedures with CC
DZ04,Intermediate Thoracic Procedures with CC
DZ05,Other Thoracic Procedures
DZ06,Minor Thoracic Procedures
DZ07,Fibre optic Bronchoscopy
DZ08,Rigid Bronchoscopy
DZ09,Pulmonary Embolus with Major CC
DZ10,Lung Abscess-Empyema with Major CC
DZ11,"Lobar, Atypical or Viral Pneumonia with Major CC"
DZ12,Bronchiectasis with CC
DZ13,Cystic Fibrosis with CC
DZ14,"Pulmonary, Pleural or Other Tuberculosis with CC"
DZ15,Asthma with Major CC with Intubation
DZ16,Pleural Effusion with Major CC
DZ17,Respiratory Neoplasms with Major CC
DZ18,Sleeping Disorders Affecting Breathing
DZ19,Other Respiratory Diagnoses with Major CC
DZ20,Pulmonary Oedema
DZ21,Chronic Obstructive Pulmonary Disease or Bronchitis with length of stay 1 day or less discharged home
DZ22,Unspecified Acute Lower Respiratory Infection with Major CC
DZ23,Bronchopneumonia with Major CC
DZ24,Inhalation Lung Injury or Foreign Body with Major CC
DZ25,Fibrosis or Pneumoconiosis with CC
DZ26,Pneumothorax with CC
DZ27,Respiratory Failure with Intubation with Major CC
DZ28,Pleurisy
DZ29,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease with CC"
DZ30,Chest Physiotherapy
DZ31,Complex Lung Function Exercise Testing
DZ32,Simple Lung Function Exercise Testing
DZ33,Hyperbaric Oxygen Treatment
DZ34,Complex Bronchodilator Studies
DZ35,Simple Bronchodilator Studies
DZ36,Bronchial Reactivity Studies
DZ37,Non-Invasive Ventilation Support Assessment
DZ38,Oxygen Assessment and Monitoring
DZ39,Complex Gas Exchange Studies
DZ40,Simple Gas Exchange Studies
DZ41,Smoking Cessation Support
DZ42,TB Nurse Support
DZ43,Complex Airflow Studies
DZ44,Simple Airflow Studies
DZ45,Lung Volume Studies
DZ46,Respiratory Muscle Strength Studies
DZ48,Respiratory Drive Studies
DZ49,Respiratory Nurse and AHP education/support
DZ50,Respiratory Polysomnography
EA01,Heart & Lung Transplant
EA02,Heart Transplant
EA03,Pace 1 - Single chamber or Implantable Diagnostic Device
EA04,Pace 1 - Single chamber or Implantable Diagnostic Device and other (Catheterisation; EP; Ablation; Percutaneous Coronary Intervention)
EA05,Pace 2 - Dual Chamber
EA06,Pace 2 - Dual Chamber and other (Catheterisation; EP; Ablation; PCI)
EA07,Pace 3 - Biventricular and all congenital pacemaker Procedures - Resynchronisation Therapy
EA08,Pace 3 - Biventricular and all congenital pacemaker Procedures - Resynchronisation Therapy and other (Catheterisation; EP; Ablation; Percutaneous Coronary Intervention)
EA09,Congenital Interventions: Percutaneous transluminal ASD/VSD/PFO closure and valve insertion
EA10,Congenital Interventions: Balloon valve intermediate interventions and arterial duct closure
EA11,"Congenital Interventions: Other including Septostomy, Embolisations, Non-coronary Stents and Energy Moderated Perforation"
EA12,Implantation of Cardioverter - Defibrillator only
EA13,Implantation of Cardioverter - Defibrillator with other Procedures
EA14,Coronary Artery Bypass Graft (First Time)
EA15,Coronary Artery Bypass Graft (First Time) with Cardiac Catheterisation
EA16,"Coronary Artery Bypass Graft (First Time) with Percutaneous Coronary Intervention, Pacing, EP or RFA +/- Catheterisation"
EA17,Single Cardiac Valve Procedures
EA18,Single Cardiac Valve Procedures with Catheterisation
EA19,"Single Cardiac Valve Procedures with Percutaneous Coronary Intervention, Pacing, EP or RFA +/- Catheterisation"
EA20,Other Complex Cardiac Surgery and Re-do's
EA21,Other Complex Cardiac Surgery with Catheterisation
EA22,"Other Complex Cardiac Surgery with Percutaneous Coronary Intervention, Pacing, EP or RFA +/- Catheterisation"
EA23,Major Complex Congenital Surgery
EA24,Complex Congenital Surgery
EA25,Intermediate Congenital Surgery
EA26,Standard Congenital Surgery
EA27,Standard EP or Ablation
EA28,Standard EP or Ablation with Catheterisation or Percutaneous Coronary Intervention
EA29,Complex Ablation (includes Atrial Fibrillation or Ventricular Tachycardia)
EA30,Complex Ablation (includes Atrial Fibrillation or Ventricular Tachycardia) with Catheterisation or Percutaneous Coronary Intervention
EA31,Percutaneous Coronary Intervention (0-2 Stents)
EA32,Percutaneous Coronary Intervention (0-2 stents) and Catheterisation
EA33,Percutaneous Coronary Interventions with 3 or more Stents
EA34,Percutaneous Coronary Interventions with 3 or more Stents and Catheterisation
EA35,Other Transluminal Percutaneous Interventions
EA36,Catheter 18 years and under
EA39,Pacemaker Procedure without Generator Implant (includes resiting and removal of cardiac pacemaker system)
EA40,Other Non-Complex Cardiac Surgery
EA41,Other Non-Complex Cardiac Surgery + Catheterisation
EA42,Other Non-Complex Cardiac Surgery + other (includes PCI; Pacing; EP; RFA +/- Catheterisation - not ICD)
EA43,Implantation of Prosthetic Heart or Ventricular Assist Device
EA44,Minor Cardiac Procedures
EA45,"Complex Echocardiogram (include Congenital, Transoesophageal and Fetal Echocardiography)"
EA46,Simple Echocardiogram
EA47,Electrocardiogram Monitoring and stress testing
EB01,Non interventional acquired cardiac conditions 19 years and over
EB02,Endocarditis
EB03,Heart Failure or Shock with CC
EB04,Hypertension with CC
EB05,Cardiac Arrest
EB06,Cardiac Valve Disorders
EB07,Arrhythmia or Conduction Disorders with CC
EB08,Syncope or Collapse with CC
EB09,Non-Interventional Congenital Cardiac Conditions
EB10,Actual or Suspected Myocardial Infarction
EB11,Deep Vein Thrombosis
FZ01,Complex Oesophageal Procedures
FZ02,Very Major Oesophageal Procedures
FZ03,Diagnostic Oesophageal and Stomach Procedures
FZ04,Very Major Stomach or Duodenum Procedures
FZ05,Major Stomach or Duodenum Procedures
FZ06,Very Major Small Intestine Procedures
FZ07,Major Small Intestine Procedures
FZ08,Complex Large Intestine Procedures
FZ09,Large Intestine - Proximal Colectomy
FZ10,Large Intestine - Distal Colectomy
FZ11,Large Intestine - Major Procedures
FZ12,General Abdominal - Very Major or Major Procedures
FZ13,General Abdominal - Diagnostic Procedures
FZ14,Complex Procedures for Inflammatory Bowel Disease
FZ15,Major Procedures for Inflammatory Bowel Disease
FZ16,Very Major Procedures for Gastrointestinal Bleed
FZ17,Abdominal Hernia Procedures
FZ18,Inguinal Umbilical or Femoral Hernia Repairs
FZ19,Herniotomy Procedures
FZ20,Appendicectomy Procedures
FZ21,Major Anal Procedures
FZ22,Intermediate Anal Procedures
FZ23,Minor Anal Procedures
FZ24,Major Therapeutic Open or Endoscopic Procedures
FZ25,Therapeutic Endoscopic or Intermediate Stomach or Duodenum Procedures
FZ26,Endoscopic or Intermediate Large Intestine Procedures
FZ27,Endoscopic or Intermediate General Abdominal Procedures
FZ28,Endoscopic or Intermediate Procedures for Inflammatory Bowel Disease
FZ29,Major or Therapeutic Endoscopic Procedures for Gastrointestinal Bleed
FZ30,Diagnostic Endoscopic or Intermediate Procedures for Gastrointestinal Bleed
FZ31,Disorders of the Oesophagus
FZ32,Stomach or Duodenum Disorders
FZ33,Small Intestinal Disorders (excluding Inflammatory Bowel Disease)
FZ34,Large Intestinal Disorders
FZ35,General Abdominal Disorders
FZ36,Intestinal Infectious Disorders
FZ37,Inflammatory Bowel Disease
FZ38,Gastrointestinal Bleed
FZ39,Hernia Disorders
FZ40,Appendix Disorders
FZ41,Anal Disorders
GA01,Hepatobiliary Transplant
GA02,Hepatobiliary Procedures category 8
GA03,Hepatobiliary Procedures category 7
GA04,Hepatobiliary Procedures category 6
GA05,Hepatobiliary Procedures category 5 with CC
GA06,Hepatobiliary Procedures category 4
GA07,Hepatobiliary Procedures category 3 with CC
GA08,Hepatobiliary Procedures category 2 with CC
GA09,Hepatobiliary Procedures category 1 with CC
GA10,Cholecystectomy with CC
GB01,Endoscopic/Radiology category 4
GB02,Endoscopic/Radiology category 3 with Major CC
GB03,Endoscopic/Radiology category 2 with CC
GB04,Endoscopic/Radiology category 1 with Major CC
GB05,Endoscopic Retrograde Cholangiopancreatography category 3 with CC
GB06,Endoscopic Retrograde Cholangiopancreatography category 2 with length of stay 3 days or more with Major CC
GB07,Endoscopic Retrograde Cholangiopancreatography category 1 with length of stay 3 days or more with CC
GC01,Liver Failure Disorders
GC02,Liver and Pancreatic Disorders category 6 with Major CC
GC03,Liver and Pancreatic Disorders category 5 with CC
GC04,Liver and Pancreatic Disorders category 4 with Major CC
GC05,Liver and Pancreatic Disorders category 3 with Major CC
GC06,Liver and Pancreatic Disorders category 2 with Major CC
GC07,Liver and Pancreatic Disorders category 1 with Major CC
HA01,Reconstruction Procedures Category 6
HA02,Reconstruction Procedures Category 5
HA03,Reconstruction Procedures Category 4
HA04,Reconstruction Procedures Category 3
HA05,Reconstruction Procedures Category 2
HA06,Reconstruction Procedures Category 1
HA11,Major Hip Procedures Category 2 for Trauma
HA12,Major Hip Procedures Category 1 for Trauma
HA13,Intermediate Hip Procedures for Trauma
HA14,Minor Hip Procedures for Trauma
HA21,Major Knee Procedures Category 2 for Trauma
HA22,Major Knee Procedures Category 1 for Trauma
HA23,Intermediate Knee Procedures Category 2 for Trauma
HA24,Intermediate Knee Procedures Category 1 for Trauma
HA25,Minor Knee Procedures Category 2 for Trauma
HA26,Minor Knee Procedures Category 1 for Trauma
HA31,Major Foot Procedures Category 2 for Trauma
HA32,Major Foot Procedures Category 1 for Trauma
HA33,Intermediate Foot Procedures Category 2 for Trauma
HA34,Intermediate Foot Procedures Category 1 for Trauma
HA35,Minor Foot Procedures for Trauma
HA41,Major Arm Procedures for Trauma Category 2
HA42,Major Arm Procedures for Trauma Category 1
HA43,Intermediate Arm Procedures for Trauma Category 2
HA44,Intermediate Arm Procedures for Trauma Category 1
HA45,Minor Arm Procedures for Trauma Category 2
HA46,Minor Arm Procedures for Trauma Category 1
HA51,Major Hand Procedures for Trauma Category 2
HA52,Major Hand Procedures for Trauma Category 1
HA53,Intermediate Hand Procedures for Trauma Category 2
HA54,Intermediate Hand Procedures for Trauma Category 1
HA55,Minor Hand Procedures for Trauma Level Category 2
HA56,Minor Hand Procedures for Trauma Level Category 1
HA84,Traumatic Amputations
HA91,Hip Trauma Diagnosis without Procedure
HA92,Knee Trauma Diagnosis without Procedure
HA93,Foot Trauma Diagnosis without Procedure
HA94,Arm Trauma Diagnosis without Procedure
HA95,Hand Trauma Diagnosis without Procedure
HA96,Multiple Trauma Diagnoses without Procedure
HA97,Other Trauma Diagnosis without Procedure
HA99,Other Procedures for Trauma
HB11,Major Hip Procedures for non Trauma Category 2
HB12,Major Hip Procedures for non Trauma Category 1
HB13,Intermediate Hip Procedures for non Trauma Category 2
HB14,Intermediate Hip Procedures for non Trauma Category 1
HB15,Minor Hip Procedures for non Trauma Category 2
HB16,Minor Hip Procedures for non Trauma Category 1
HB21,Major Knee Procedures for non Trauma Category 2
HB22,Major Knee Procedures for non Trauma Category 1
HB23,Intermediate Knee Procedures for non Trauma
HB24,Minor Knee Procedures for non Trauma Category 2
HB25,Minor Knee Procedures for non Trauma Category 1
HB31,Major Foot Procedures Category 2 for non Trauma
HB32,Major Foot Procedures Category 1 for non Trauma
HB33,Intermediate Foot Procedures Category 2 for non Trauma
HB34,Intermediate Foot Procedures Category 1 for non Trauma
HB35,Minor Foot Procedures for non Trauma
HB41,Major Arm Procedures for non Trauma
HB42,Intermediate Arm Procedures for non Trauma Category 2
HB43,Intermediate Arm Procedures for non Trauma Category 1
HB44,Minor Arm Procedures for non Trauma Category 2
HB45,Minor Arm Procedures for non Trauma Category 1
HB51,Major Hand Procedures for non Trauma Category 2
HB52,Major Hand Procedures for non Trauma Category 1
HB53,Intermediate Hand Procedures for non Trauma Category 2
HB54,Intermediate Hand Procedures for non Trauma Category 1
HB55,Minor Hand Procedures for non Trauma Category 2
HB56,Minor Hand Procedures for non Trauma Category 1
HB91,Other non Trauma Diagnosis without Procedure
HB99,Other Procedures for non Trauma
HC01,Extradural Spine Major 2
HC02,Extradural Spine Major 1
HC03,Extradural Spine Intermediate 2
HC04,Extradural Spine Intermediate 1
HC05,Extradural Spine Minor 2
HC06,Extradural Spine Minor 1
HC07,Intradural Spine Major 2
HC08,Intradural Spine Major 1
HC09,Intradural Spine Intermediate 2
HC10,Intradural Spine Intermediate 1
HC11,Intradural Spine Minor 2
HC12,Intradural Spine Minor 1
HC20,Vertebral Column Injury without Procedure
HC21,Spinal Cord Injury without Procedure
HC22,Cervical Spinal Disorders
HC23,Spinal Tumours
HC24,Thoracic or Lumbar Spinal Disorders
HC25,Non-Traumatic Spinal Cord Disorders
HC26,Scoliosis or Other Spinal Deformity
HC91,Spine Trauma Diagnosis without Procedure
HC92,Spine non Trauma Diagnosis without Procedure
HD21,Soft Tissue Disorders
HD22,"Inflammatory Spine, Joint or Connective Tissue Disorders 70 years and over"
HD23,"Inflammatory Spine, Joint or Connective Tissue Disorders"
HD24,Non-Inflammatory Bone or Joint Disorders
HD25,Infections of Bones or Joints
HD26,Musculoskeletal Signs and Symptoms
HD31,"Sprains, Strains, or Minor Open Wounds"
HD32,"Major Cranial, Visceral or Blood Vessel Injury"
HD35,Other Wounds or Injuries
HD36,Pathological Fractures or Malignancy of Bone and Connective Tissue
HD37,Head Injury
JA01,Free Perforator Breast Reconstruction
JA02,Free Myocutaneous Breast Reconstruction
JA03,Pedicled TRAM Reconstruction of Breast
JA04,Pedicled Myocutaneous Breast Reconstruction with Insertion of Prosthesis
JA05,Pedicled Myocutaneous Breast Reconstruction without Insertion of Prosthesis
JA06,Major Breast Procedures category 3
JA07,Major Breast Procedures category 2 with Major CC
JA08,Major Breast Procedures category 1
JA09,Intermediate Breast Procedures with CC
JA10,Minor Breast Procedures category 2
JA11,Minor Breast Procedures category 1 with Major CC
JA12,Malignant Breast Disorders with Major CC
JA13,Non-Malignant Breast Disorders
JB01,"Major Burn, Third degree or more than 19% TBSA or Affecting Multiple Body Regions with Significant Graft"
JB11,Other Burn with Multiple Significant Graft Procedures with Major CC
JB12,Other Burn with One Significant Graft Procedure with Major CC
JB13,Other Burn with Other Procedure with Major CC
JB21,Other Burn without Other Procedure with Major CC
JC01,Major Multiple Skin Procedures with Major CC
JC02,Major Skin Procedures category 2 with Major CC
JC03,Major Skin Procedures category 1 with Major CC
JC04,Intermediate Skin Procedures with Major CC
JC05,Minor Skin Procedures category 3 with Major CC
JC06,Minor Skin Procedures category 2 with Major CC
JC07,Minor Skin Procedures category 1
JC08,Consultation
JC09,Patch Tests
JC10,Investigative procedures 2
JC11,Investigative procedures 3
JC12,Urticaria tests
JC13,Photo Tests
JC14,Skin Therapies level 2
JC15,Skin Therapies level 3
JC16,Skin Therapies level 4
JC17,Skin Therapies level 5
JC18,Electrical and other invasive therapy 2
JC19,Electrical and other invasive therapy 4
JC20,Electrical and other invasive therapy 3
JC21,Non-Invasive Physical Therapy 2
JC22,Non-Invasive Physical Therapy 5
JC23,Complex/expensive therapy 2
JC24,Complex/expensive therapy 3
JC25,Complex/expensive therapy 4
JC26,Complex/expensive therapy 5
JC27,Nursing Procedures & Dressings 1
JC28,Nursing Procedures & Dressings 2
JC29,Phototherapy
JC30,Minor Laser Therapy
JC31,Major Laser Therapy
JC32,Photochemotherapy
JD01,Major Skin disorders category 2 with Major CC
JD02,Major Skin disorders category 1 with Major CC
JD03,Intermediate Skin disorders with Major CC
JD04,Minor Skin disorders category 3 with Major CC
JD05,Minor Skin disorders category 2 with Major CC
JD06,Minor Skin disorders category 1 with CC
KA01,Major Thyroid Procedures with CC
KA02,Minor Thyroid Procedures
KA03,Parathyroid Procedures with CC
KA04,Adrenal Procedures
KA05,Anterior Pituitary Disorders with CC
KA06,Non Pituitary Endocrine Neoplasms with CC
KA07,Non-Surgical Thyroid Disorders
KA08,Other Endocrine Disorders
KB01,Diabetes with Hypoglycaemic Disorders 70 years and over
KB02,Diabetes with Hyperglycaemic Disorders 70 years and over with Major CC
KB03,Diabetes with Lower Limb Complications with Major CC
KC01,Electrolyte Disorders with Major CC
KC02,Fluid Disorders 70 years and over with Major CC
KC03,Disorders of Nutrition 85 years and over
KC04,Inborn Errors of Metabolism
LA01,Kidney Transplant from Cadaver non-Heart beating donor 19 years and over
LA02,Kidney Transplant from Cadaver Heart beating donor 19 years and over
LA03,Kidney Transplant from Live donor 19 years and over
LA04,Kidney or Urinary Tract Infections with Major CC
LA05,Renal Replacement Associated Procedures with CC
LA07,Acute Renal Failure with Major CC
LA08,Chronic Renal Failure with length of stay 2 days or more with Major CC
LA09,General Renal Disorders 19 years and over with Major CC
LA10,Live Kidney donor screening
LA11,Kidney pre-transplantation work-up of live donor
LA12,Kidney pre-transplantation work-up of recipient 19 years and over
LA13,Examination for post-transplantation of Kidney of recipient 19 years and over
LA14,Examination for post-transplantation of Kidney of live donor
LB01,Percutaneous Nephrostomy with CC
LB02,Kidney Major Open Procedure 19 years and over with Major CC
LB03,Laparoscopic Operations on Kidney and Ureter
LB04,Kidney Major Endoscopic Procedure with CC
LB05,"Kidney Intermediate Technical, Endoscopic and Percutaneous Interventions 19 years and over with Major CC"
LB06,"Non-OR Admission for Kidney, Urinary Tract and Prostate Neoplasms with Major CC"
LB07,Ureter Open Procedure
LB08,Ureter Major Endoscopic Procedure
LB09,Ureter Intermediate Endoscopic Procedure 19 years and over with CC
LB10,Bladder Major Open Procedures / Reconstruction
LB11,Urinary Diversion without Cystectomy
LB12,Bladder Intermediate Open Procedure
LB13,Bladder Major Endoscopic Procedure with CC
LB14,Bladder Intermediate Endoscopic Procedure 19 years and over with Major CC
LB15,Bladder Minor Procedure 19 years and over with Major CC
LB16,Lower Urinary Tract Findings with Major CC
LB17,Introduction of Therapeutic Substance into Bladder
LB18,Bladder / Urinary Mechanical Problems with Major CC
LB19,Ureteric / Bladder Disorders 19 years and over with CC
LB20,"Infection and Mechanical Problems Related to Genito-Urinary Prostheses, Implants and Grafts with CC"
LB21,Bladder Neck Open Procedures - Male
LB22,Laparoscopic Bladder Neck Procedures - Male
LB23,Bladder Neck Open Procedures - Female
LB24,Laparoscopic Bladder Neck Procedures - Female
LB25,Prostate Transurethral Resection Procedure with Major CC
LB26,Prostate / Bladder Neck Intermediate Endoscopic Procedure - Male and Female
LB27,"Prostate or Bladder Neck Minor Endoscopic Procedure - Male, with length of stay 1 day or less"
LB28,Non-Malignant Prostate Disorders with CC
LB29,Urethra Major Open Procedures 19 years and over
LB30,Urethra Disorders and Intermediate / Minor Procedures 19 years and over with CC
LB31,Penis Major / Intermediate Open Procedures
LB32,Penile Conditions and Minor Procedures 19 years and over with CC
LB33,Vasectomy Procedures
LB34,"Scrotum, Testis or Vas Deferens Open Procedures 19 years and over with CC"
LB35,"Scrotum, Testis or Vas Deferens Disorders with CC"
LB36,Extracorporeal Lithotripsy
LB37,Miscellaneous Urinary Tract Findings with CC
LB38,Unspecified Haematuria with Major CC
LB39,Cystectomy with Urinary Diversion and Reconstruction with CC
LB40,Urinary Tract Stone Disease with CC
LB42,Dynamic Studies of Urinary Tract
LB43,Treatment of Erectile Dysfunction
LB44,Non-Operative Interventions of Genital Organs and Perineum - Male
LB45,Retroperitoneal Lymph Node Dissection
LC01,Haemodialysis/Filtration on patient with Hepatitis B 19 years and over
LC02,Haemodialysis/Filtration 19 years and over
LC03,Peritoneal Dialysis on patient with Hepatitis B 19 years and over
LC04,Peritoneal Dialysis 19 years and over
MA01,Lower and Upper Genital Tract Very Complex Major Procedures
MA02,Lower and Upper Genital Tract Complex Major Procedures
MA03,Lower Genital Tract Major Procedures with CC
MA04,Lower Genital Tract Intermediate Procedures with CC
MA05,Lower Genital Tract Minor Procedures with CC
MA06,Open Major Upper and Lower Genital Tract Procedures with malignancy
MA07,Upper Genital Tract Major Procedures without malignancy
MA08,Upper Genital Tract Laparoscopic / Endoscopic Major Procedures
MA09,Upper Genital Tract Laparoscopic / Endoscopic Intermediate Procedures
MA10,Upper Genital Tract Laparoscopic / Endoscopic Minor Procedures
MA11,Upper Genital Tract Intermediate Procedures
MA12,Resection and ablation procedures for intra-uterine lesions
MA13,Upper Genital Tract Minor Procedures 19 years and over with CC
MA15,Vacuum Aspiration with Rigid Cannula for 9 weeks gestation or more
MA16,Vacuum Aspiration with Flexible Cannula
MA17,Dilation and evacuation 20 weeks or more
MA18,Medical Termination of Pregnancy
MB01,Lower Genital Tract Disorders
MB02,Genital Prolapse or Incontinence
MB03,"Uterus (including Fibroids) Disorders, Menstrual Disorders or Endometriosis with CC"
MB04,"Ovary, Fallopian Tube or Pelvic Disorders with CC"
MB05,Gynaecological Malignancy
MB06,Other Gynaecological Conditions with CC
MB08,Threatened or Spontaneous Miscarriage 19 years and over
MC01,Intra-uterine insemination with super ovulation
MC02,Intra-uterine insemination without super ovulation
MC03,IVF Treatment
MC04,IVF Treatment with donor
MC05,IVF Treatment with Intra Cytoplasmatic Sperm Injection
NZ01,Normal delivery 19 years and over with CC
NZ02,Assisted delivery with CC
NZ03,Caesarean Section 19 years and over
NZ04,Clinical contact for observation (ante- or post-natal) 19 years and over
NZ05,Clinical contact with investigation (ante- or post-natal) 19 years and over
NZ06,Clinical contact with full investigation (ante- or post-natal)
NZ07,Admission for observation only 19 years and over
NZ08,Admission with investigation 19 years and over
NZ09,Admission with full investigation
NZ91,Enables direct mapping to NZ01A
NZ92,Enables direct mapping to NZ02A
NZ93,Enables direct mapping to NZ03A
PA01,Nervous System Disorders with CC
PA02,Epilepsy Syndrome
PA03,Febrile Convulsions
PA04,Headaches and Migraines with CC
PA05,Developmental Disorders
PA06,Head Injury with Intracranial Injury
PA07,Head Injury without Intracranial Injury with CC
PA08,Intermediate Injury without Intracranial Injury with CC
PA09,Major Upper Respiratory Tract Disorders with CC
PA10,Minor Upper Respiratory Tract Disorders with CC
PA11,Acute Upper Respiratory Tract Infection and Common Cold
PA12,Asthma or Wheezing
PA13,Cystic Fibrosis with CC
PA14,Lower Respiratory Tract Disorders without Acute Bronchiolitis with CC
PA15,Acute Bronchiolitis with CC
PA16,Major Infections with CC
PA17,Intermediate Infections with CC
PA18,Minor Infections with CC
PA19,Viral Infections
PA20,Pyrexia of unknown origin
PA21,Infectious and Non-Infectious Gastroenteritis with CC
PA22,Chest Pain
PA23,Cardiac Conditions with CC
PA24,Arrhythmia or Conduction Disorders
PA25,Major Gastrointestinal or Metabolic Disorders with CC
PA26,Other Gastrointestinal or Metabolic Disorders with CC
PA27,Inflammatory Bowel Disease
PA28,Feeding Difficulties and Vomiting with CC
PA29,Abdominal Pain
PA30,Faltering Growth (Failure to Thrive) with CC
PA31,Major Injury without Intracranial Injury
PA32,Minor Injury without Intracranial Injury with CC
PA33,Intermediate Upper Respiratory Tract Disorders with CC
PA34,Musculoskeletal or Connective Tissue Disorders with CC
PA35,Skin Disorders with CC
