hrg_root,hrg_root_description
HA93,Foot Trauma Diagnosis without Procedure
HA94,Arm Trauma Diagnosis without Procedure
HA95,Hand Trauma Diagnosis without Procedure
HA96,Multiple Trauma Diagnoses without Procedure
HA97,Other Trauma Diagnosis without Procedure
HA99,Other Procedures for Trauma
HB11,Major Hip Procedures for Non-Trauma category 2
HB12,Major Hip Procedures for Non-Trauma category 1
HB13,Intermediate Hip Procedures for Non-Trauma category 2
HB14,Intermediate Hip Procedures for Non-Trauma category 1
HB15,Minor Hip Procedures for Non-Trauma category 2
HB16,Minor Hip Procedures for Non-Trauma category 1
HB21,Major Knee Procedures for Non-Trauma category 2
HB22,Major Knee Procedures for Non-Trauma category 1
HB23,Intermediate Knee Procedures for Non-Trauma
HB24,Minor Knee Procedures for Non-Trauma category 2
HB25,Minor Knee Procedures for Non-Trauma category 1
HB31,Major Foot Procedures for Non-Trauma
HB32,Intermediate Foot Procedures for Non-Trauma category 2
HB33,Intermediate Foot Procedures for Non-Trauma category 1
HB34,Minor Foot Procedures for Non-Trauma category 2
HB35,Minor Foot Procedures for Non-Trauma category 1
HB51,Major Hand Procedures for Non-Trauma category 2
HB52,Major Hand Procedures for Non-Trauma category 1
HB53,Intermediate Hand Procedures for Non-Trauma category 2
HB54,Intermediate Hand Procedures for Non-Trauma category 1
HB55,Minor Hand Procedures for Non-Trauma category 2
HB56,Minor Hand Procedures for Non-Trauma category 1
HB61,Major Shoulder and Upper Arm Procedures for Non-Trauma
HB62,Intermediate Shoulder and Upper Arm Procedures for Non-Trauma
HB63,Minor Shoulder and Upper Arm Procedures for Non-Trauma
HB71,Major Elbow and Lower Arm Procedures for Non-Trauma
HB72,Intermediate Elbow and Lower Arm Procedures for Non-Trauma
HB73,Minor Elbow and Lower Arm Procedures for Non-Trauma
HB91,Other Non-Trauma Diagnosis without Procedure
HB99,Other Procedures for Non-Trauma
HC01,Extradural Spine Major 2
HC02,Extradural Spine Major 1
HC03,Extradural Spine Intermediate 2
HC04,Extradural Spine Intermediate 1
HC05,Extradural Spine Minor 2
HC06,Extradural Spine Minor 1
HC07,Intradural Spine Major 2
HC08,Intradural Spine Major 1
HC09,Intradural Spine Intermediate 2
HC10,Intradural Spine Intermediate 1
HC11,Intradural Spine Minor 2
HC12,Intradural Spine Minor 1
HC20,Vertebral Column Injury without Procedure
HC21,Spinal Cord Injury without Procedure
HC26,Scoliosis or Other Spinal Deformity
HC27,Degenerative Spinal Conditions
HC28,Spinal Cord Conditions
HC29,Inflammatory Spinal Conditions
HC30,Spinal Tumours
HC31,Spinal Infection
HD21,Soft Tissue Disorders
HD23,"Inflammatory Spine, Joint or Connective Tissue Disorders"
HD24,Non-Inflammatory Bone or Joint Disorders
HD25,Infections of Bones or Joints
HD26,Musculoskeletal Signs and Symptoms
HD39,Pathological Fractures
HD40,Malignancy of Bone and Connective Tissue
HR01,Reconstruction Procedures Category 6
HR02,Reconstruction Procedures Category 5
HR03,Reconstruction Procedures Category 4
HR04,Reconstruction Procedures Category 3
HR05,Reconstruction Procedures Category 2
HR06,Reconstruction Procedures Category 1
JA03,Pedicled TRAM Reconstruction of Breast
JA05,Pedicled Myocutaneous Breast Reconstruction with or without Insertion of Prosthesis
JA06,Major Breast Procedures category 3
JA07,Major Breast Procedures category 2
JA08,Major Breast Procedures category 1
JA09,Intermediate Breast Procedures
JA12,Malignant Breast Disorders
JA13,Non-Malignant Breast Disorders
JA14,Free Perforator Flap Breast Reconstruction
JA15,Minor Breast Procedures
JA16,Mastectomy with Breast Reconstruction
JB01,"Major Burn, Third Degree or more than 19% TBSA or Affecting Multiple Body Regions"
JB11,Other Burn with Multiple Significant Graft Procedures
JB12,Other Burn with One Significant Graft Procedure
JB13,Other Burn with Other Procedure
JB21,Other Burn without Other Procedure
JC01,Major Multiple Skin Procedures
JC02,Major Skin Procedures category 2
JC03,Major Skin Procedures category 1
JC04,Intermediate Skin Procedures category 2
JC05,Intermediate Skin Procedures category 1
JC06,Minor Skin Procedures category 2
JC07,Minor Skin Procedures category 1
JC09,Patch Tests
JC10,Specified Skin Examinations and Investigations
JC11,Other Diagnostic Skin Tests
JC12,Urticaria tests
JC13,Photo Tests
JC14,Skin Therapies level 2
JC15,Skin Therapies level 3
JC16,Skin Therapies level 4
JC17,Skin Therapies level 5
JC18,Electrical and Other Invasive Therapy 2
JC19,Electrical and Other Invasive Therapy 4
JC20,Electrical and Other Invasive Therapy 3
JC27,Nursing Procedures and Dressings 1
JC29,Phototherapy
JC30,Minor Laser Therapy
JC32,Photochemotherapy
JD01,Major Skin Disorders category 2
JD02,Major Skin Disorders category 1
JD03,Intermediate Skin Disorders category 2
JD04,Intermediate Skin Disorders category 1
JD05,Minor Skin Disorders category 2
JD06,Minor Skin Disorders category 1
KA03,Parathyroid Procedures
KA04,Adrenal Procedures
KA05,Anterior Pituitary Disorders
KA06,Non Pituitary Neoplasia and Hypoplasia
KA07,Non-Surgical Thyroid Disorders
KA08,Other Endocrine Disorders
KA09,Thyroid Procedures
KB01,Diabetes with Hypoglycaemic Disorders
KB02,Diabetes with Hyperglycaemic Disorders
KB03,Diabetes with Lower Limb Complications
KC04,Inborn Errors of Metabolism
KC05,Fluid and Electrolyte Disorders
LA01,Kidney Transplant from Cadaver non-Heart beating donor
LA02,Kidney Transplant from Cadaver Heart beating donor
LA03,Kidney Transplant from Live donor
LA04,Kidney or Urinary Tract Infections
LA05,Renal Replacement Peritoneal Dialysis Associated Procedures
LA07,Acute Kidney Injury
LA08,Chronic Kidney Disease
LA09,General Renal Disorders
LA10,Live Kidney Donor Screening
LA11,Kidney Pre-Transplantation Work-up of Live Donor
LA12,Kidney Pre-Transplantation Work-up of Recipient
LA13,Examination for Post-Transplantation of Kidney of Recipient
LA14,Examination for Post-Transplantation of Kidney of Live Donor
LB01,Percutaneous Nephrostomy
LB02,Kidney Major Open Procedure
LB03,Laparoscopic Operations on Kidney and Ureter
LB04,Kidney Major Endoscopic Procedure
LB05,"Kidney Intermediate, Endoscopic and Percutaneous Interventions"
LB06,"Kidney, Urinary Tract and Prostate Neoplasms"
LB07,Ureter Open Procedure
LB08,Ureter Major Endoscopic Procedures
LB09,Ureter Intermediate Endoscopic Procedures
LB10,Bladder Major Open Procedures / Reconstruction
LB11,Urinary Diversion without Cystectomy
LB12,Bladder Intermediate Open Procedure
LB13,Bladder Major Endoscopic Procedure
LB14,Bladder Intermediate Endoscopic Procedure
LB15,Bladder Minor Procedure
LB16,Urinary Incontinence and Other Urinary Problems
LB17,Introduction of Therapeutic Substance into Bladder
LB18,Attention to Suprapubic Bladder Catheter
LB19,Ureteric / Bladder Disorders
LB20,"Infection and Mechanical Problems Related to Genito-Urinary Prostheses, Implants and Grafts"
LB21,Bladder Neck Open Procedures - Male
LB22,Laparoscopic Bladder Neck Procedures - Male
LB25,Prostate Transurethral Resection Procedure
LB26,Prostate or Bladder Neck Intermediate Endoscopic Procedure - Male and Female
LB27,Prostate or Bladder Neck Minor Endoscopic Procedure - Male
LB28,Non-Malignant Prostate Disorders
LB29,Urethra Major Open Procedures
LB33,Vasectomy Procedures
LB35,"Scrotum, Testis or Vas Deferens Disorders"
LB36,Extracorporeal Lithotripsy
LB37,Miscellaneous Urinary Tract Findings
LB38,Unspecified Haematuria
LB39,Cystectomy with Urinary Diversion and Reconstruction
LB40,Urinary Tract Stone Disease
LB42,Dynamic Studies of Urinary Tract
LB43,Treatment of Erectile Dysfunction
LB46,Live Donation of Kidney
LB47,Penis Major Open Procedures
LB48,Penis Intermediate Open Procedures
LB49,High Intensity Focused Ultrasound  - Male and Female
LB50,Implantation of Artificial Urinary Sphincter  - Male and Female
LB51,Vaginal Tape Operations for Urinary Incontinence
LB52,"Scrotum, Testis or Vas Deferens Major Open Procedures"
LB53,"Scrotum, Testis or Vas Deferens Intermediate Open Procedures"
LB54,"Scrotum, Testis or Vas Deferens Minor Procedures"
LB55,Urethra Intermediate / Minor Procedures
LB56,Penis Minor Procedures
LB57,Urethral Disorders
LB58,Penile Disorders
LB59,Bladder Neck Open and Laparoscopic Procedures - Female
LB74,Implantation of Penile Prosthesis
LD01,Hospital Haemodialysis/Filtration with Access via Haemodialysis Catheter
LD02,Hospital Haemodialysis/Filtration with Access via Arteriovenous Fistula or Graft
LD03,Hospital Haemodialysis/Filtration with Access via Haemodialysis Catheter with Blood Borne Virus
LD04,Hospital Haemodialysis/Filtration with Access via Arteriovenous Fistula or Graft with Blood Borne Virus
LD05,Satellite Haemodialysis/Filtration with Access via Haemodialysis Catheter
LD06,Satellite Haemodialysis/Filtration with Access via Arteriovenous Fistula or Graft
LD07,Satellite Haemodialysis/Filtration with Access via Haemodialysis Catheter with Blood Borne Virus
LD08,Satellite Haemodialysis/Filtration with Access via Arteriovenous Fistula or Graft with Blood Borne Virus
LD09,Home Haemodialysis/Filtration with Access via Haemodialysis Catheter
LD10,Home Haemodialysis/Filtration with Access via Arteriovenous Fistula or Graft
LD11,Continuous Ambulatory Peritoneal Dialysis
LD12,Automated Peritoneal Dialysis
LD13,Assisted Automated Peritoneal Dialysis
MA01,Lower and Upper Genital Tract Very Complex Major Procedures
MA02,Lower and Upper Genital Tract Complex Major Procedures
MA03,Lower Genital Tract Major Procedures
MA04,Lower Genital Tract Intermediate Procedures
MA06,Open Major Upper and Lower Genital Tract Procedures with malignancy
MA07,Upper Genital Tract Major Procedures
MA08,Upper Genital Tract Laparoscopic / Endoscopic Major Procedures
MA09,Upper Genital Tract Laparoscopic / Endoscopic Intermediate Procedures
MA10,Upper Genital Tract Laparoscopic / Endoscopic Minor Procedures
MA11,Upper Genital Tract Intermediate Procedures
MA12,Resection and Ablation Procedures for Intra-Uterine Lesions
MA17,Dilation and Evacuation
MA18,Medical Termination of Pregnancy
MA19,Vacuum Aspiration with Cannula
MA20,Medical or Surgical Termination of Pregnancy - 20 weeks gestation or more
MA21,Diagnostic Hysteroscopy
MA22,Lower Genital Tract Minor Procedures - Category 1
MA23,Lower Genital Tract Minor Procedures - Category 2
MA24,Upper Genital Tract Minor Procedures - Category 1
MA25,Upper Genital Tract Minor Procedures - Category 2
MB01,Lower Genital Tract Disorders
MB02,Genital Prolapse or Incontinence
MB03,"Uterus (including Fibroids) Disorders, Menstrual Disorders or Endometriosis"
MB04,"Ovary, Fallopian Tube or Pelvic Disorders"
MB05,Gynaecological Malignancy
MB06,Other Gynaecological Conditions
MB07,Gynaecological Fistula Conditions
MB08,Threatened or Spontaneous Miscarriage
MC06,Collection of Sperm
MC07,Intra-Uterine Insemination with Super Ovulation
MC08,Intra-Uterine Insemination with Super Ovulation with Donor
MC09,Intra-Uterine Insemination without Super Ovulation
MC10,Intra-Uterine Insemination without Super Ovulation with Donor
MC11,Implantation of Embryo
MC12,Oocyte Recovery
MC13,Donor Oocyte Recovery
MC14,Oocyte Recovery with Intracytoplasmic Sperm Injection
MC15,Oocyte Recovery with Pre-Implantation Genetic Diagnosis
NZ04,Ante-natal or Post-natal Observation with length of stay 0 days
NZ05,Ante-natal or Post-natal Investigation with length of stay 0 days
NZ06,Ante-natal or Post-natal Full Investigation with length of stay 0 days
NZ07,Ante-natal or Post-natal Observation with length of stay 1 day or more
NZ08,Ante-natal or Post-natal Investigation with length of stay 1 day or more
NZ09,Ante-natal or Post-natal Full Investigation with length of stay 1 day or more
NZ10,Diagnostic and Therapeutic Procedures on Fetus
NZ11,Normal Delivery
NZ12,Assisted Delivery
NZ13,Planned Lower Uterine Caesarean Section
NZ14,Emergency or Upper Uterine Caesarean Section
NZ15,"Caesarean Section with Eclampsia, Pre-eclampsia or Placenta Praevia"
PA01,Nervous System Disorders
PA02,Epilepsy Syndrome
PA03,Febrile Convulsions
PA04,Headaches and Migraines
PA05,Developmental Disorders
PA06,Head Injury with Intracranial Injury
PA07,Head Injury without Intracranial Injury
PA08,Intermediate Injury without Intracranial Injury
PA11,Acute Upper Respiratory Tract Infection and Common Cold
PA12,Asthma or Wheezing
PA13,Cystic Fibrosis
PA14,Lower Respiratory Tract Disorders without Acute Bronchiolitis
PA15,Acute Bronchiolitis
PA16,Major Infections
PA17,Intermediate Infections
PA18,Minor Infections
PA19,Viral Infections
PA20,Fever Unspecified
PA21,Infectious and Non-Infectious Gastroenteritis
PA22,Chest Pain
PA23,Cardiac Conditions
PA24,Arrhythmia or Conduction Disorders
