hrg_root,hrg_root_description
BZ18,Glaucoma - category 2
BZ19,Glaucoma - category 1
BZ20,Vitreous Retinal Procedures - category 4
BZ21,Vitreous Retinal Procedures - category 3
BZ22,Vitreous Retinal Procedures - category 2
BZ23,Vitreous Retinal Procedures - category 1
BZ24,Non-Surgical Ophthalmology
CZ01,Minor Mouth Procedures
CZ02,Intermediate Mouth Procedures
CZ03,Major Mouth Procedures
CZ04,Complex Major Mouth Procedures
CZ05,Tonsillectomy
CZ06,Minor Throat Procedures
CZ07,Exteriorisation of Trachea
CZ08,Minor Ear Procedures
CZ09,Intermediate Ear Procedures
CZ10,Major Ear Procedures
CZ11,Complex Major Ear Procedures
CZ12,Minor Nose Procedures
CZ13,Intermediate Nose Procedures
CZ14,Major Nose Procedures
CZ15,Complex Major Nose Procedures
CZ16,Minor Maxillo-facial Procedures
CZ17,Intermediate Maxillo-facial Procedures
CZ18,Major Maxillo-facial Procedures
CZ19,Complex Major Maxillo-facial Procedures
CZ20,Complex Major Maxillo-facial Procedures with restoration
CZ21,"Minor Head, Neck and Ear Disorders"
CZ22,"Intermediate Head, Neck and Ear Disorders"
CZ23,"Major Head, Neck and Ear Disorders"
CZ24,"Complex/Major Head, Neck and Ear Disorders"
CZ25,Cochlea Implants
CZ26,Bone Anchored Hearing Aids
DZ01,Lung Transplant
DZ02,Complex Thoracic Procedures
DZ03,Major Thoracic Procedures
DZ04,Intermediate Thoracic Procedures
DZ05,Other Thoracic Procedures
DZ06,Minor Thoracic Procedures
DZ07,Fibre optic Bronchoscopy
DZ08,Rigid Bronchoscopy
DZ09,Pulmonary Embolus
DZ10,Lung Abscess-Empyema
DZ11,"Lobar, Atypical or Viral Pneumonia"
DZ12,Bronchiectasis
DZ13,Cystic Fibrosis
DZ14,"Pulmonary, Pleural or Other Tuberculosis"
DZ15,Asthma
DZ16,Pleural Effusion
DZ17,Respiratory Neoplasms
DZ18,Sleeping Disorders Affecting Breathing
DZ19,Other Respiratory Diagnoses
DZ20,Pulmonary Oedema
DZ21,Chronic Obstructive Pulmonary Disease or Bronchitis
DZ22,Unspecified Acute Lower Respiratory Infection
DZ23,Bronchopneumonia
DZ24,Inhalation Lung Injury or Foreign Body
DZ25,Fibrosis or Pneumoconiosis
DZ26,Pneumothorax
DZ27,Respiratory Failure
DZ28,Pleurisy
DZ29,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease"
DZ30,Chest Physiotherapy
DZ31,Complex Lung Function Exercise Testing
DZ32,Simple Lung Function Exercise Testing
DZ33,Hyperbaric Oxygen Treatment
DZ34,Complex Bronchodilator Studies
DZ35,Simple Bronchodilator Studies
DZ36,Bronchial Reactivity Studies
DZ37,Non-Invasive Ventilation Support Assessment
DZ38,Oxygen Assessment and Monitoring
DZ39,Complex Gas Exchange Studies
DZ40,Simple Gas Exchange Studies
DZ41,Smoking Cessation Support
DZ42,TB Nurse Support
DZ43,Complex Airflow Studies
DZ44,Simple Airflow Studies
DZ45,Lung Volume Studies
DZ46,Respiratory Muscle Strength Studies
DZ48,Respiratory Drive Studies
DZ49,Respiratory Nurse and AHP education/support
DZ50,Respiratory Polysomnography
EA01,Heart & Lung Transplant
EA02,Heart Transplant
EA03,Pace 1 - Single chamber or Implantable Diagnostic Device
EA04,Pace 1 - Single chamber or Implantable Diagnostic Device and other (Catheterisation; EP; Ablation; Percutaneous Coronary Intervention)
EA05,Pace 2 - Dual Chamber
EA06,Pace 2 - Dual Chamber and other (Catheterisation; EP; Ablation; PCI)
EA07,Pace 3 - Biventricular and all congenital pacemaker Procedures - Resynchronisation Therapy
EA08,Pace 3 - Biventricular and all congenital pacemaker Procedures - Resynchronisation Therapy and other (Catheterisation; EP; Ablation; Percutaneous Coronary Intervention)
EA09,Congenital Interventions: Percutaneous transluminal ASD/VSD/PFO closure and valve insertion
EA10,Congenital Interventions: Balloon valve intermediate interventions and arterial duct closure
EA11,"Congenital Interventions: Other including Septostomy, Embolisations, Non-coronary Stents and Energy Moderated Perforation"
EA12,Implantation of Cardioverter - Defibrillator only
EA13,Implantation of Cardioverter - Defibrillator with other Procedures
EA14,Coronary Artery Bypass Graft (First Time)
EA15,Coronary Artery Bypass Graft (First Time) with Cardiac Catheterisation
EA16,"Coronary Artery Bypass Graft (First Time) with Percutaneous Coronary Intervention, Pacing, EP or RFA +/- Catheterisation"
EA17,Single Cardiac Valve Procedures
EA18,Single Cardiac Valve Procedures with Catheterisation
EA19,"Single Cardiac Valve Procedures with Percutaneous Coronary Intervention, Pacing, EP or RFA +/- Catheterisation"
EA20,Other Complex Cardiac Surgery and Re-do's
EA21,Other Complex Cardiac Surgery with Catheterisation
EA22,"Other Complex Cardiac Surgery with Percutaneous Coronary Intervention, Pacing, EP or RFA +/- Catheterisation"
EA23,Major Complex Congenital Surgery
EA24,Complex Congenital Surgery
EA25,Intermediate Congenital Surgery
EA26,Standard Congenital Surgery
EA27,Standard EP or Ablation
EA28,Standard EP or Ablation with Catheterisation or Percutaneous Coronary Intervention
EA29,Complex Ablation (includes Atrial Fibrillation or Ventricular Tachycardia)
EA30,Complex Ablation (includes Atrial Fibrillation or Ventricular Tachycardia) with Catheterisation or Percutaneous Coronary Intervention
EA31,Percutaneous Coronary Intervention (0-2 Stents)
EA32,Percutaneous Coronary Intervention (0-2 stents) and Catheterisation
EA33,Percutaneous Coronary Interventions with 3 or more Stents
EA34,Percutaneous Coronary Interventions with 3 or more Stents and Catheterisation
EA35,Other Transluminal Percutaneous Interventions
EA36,Catheter
EA39,Pacemaker Procedure without Generator Implant (includes resiting and removal of cardiac pacemaker system)
EA40,Other Non-Complex Cardiac Surgery
EA41,Other Non-Complex Cardiac Surgery + Catheterisation
EA42,Other Non-Complex Cardiac Surgery + other (includes PCI; Pacing; EP; RFA +/- Catheterisation - not ICD)
EA43,Implantation of Prosthetic Heart or Ventricular Assist Device
EA44,Minor Cardiac Procedures
EA45,"Complex Echocardiogram (include Congenital, Transoesophageal and Fetal Echocardiography)"
EA47,Electrocardiogram Monitoring and stress testing
EB01,Non interventional acquired cardiac conditions 19 years and over
EB02,Endocarditis
EB03,Heart Failure or Shock
EB04,Hypertension
EB05,Cardiac Arrest
EB06,Cardiac Valve Disorders
EB07,Arrhythmia or Conduction Disorders
EB08,Syncope or Collapse
EB09,Non-Interventional Congenital Cardiac Conditions
EB10,Actual or Suspected Myocardial Infarction
EB11,Deep Vein Thrombosis
FZ01,Complex Oesophageal Procedures
FZ02,Very Major Oesophageal Procedures
FZ03,Diagnostic and intermediate procedures on the upper GI tract
FZ04,Very Major Stomach or Duodenum Procedures
FZ05,Major Stomach or Duodenum Procedures
FZ06,Very Major Small Intestine Procedures
FZ07,Major Small Intestine Procedures
FZ08,Complex Large Intestine Procedures
FZ09,Proximal colon procedures
FZ10,Distal colon procedures
FZ11,Large Intestine - Major Procedures
FZ12,General Abdominal - Very Major or Major Procedures
FZ13,General Abdominal - Diagnostic Procedures
FZ14,Complex Procedures for Inflammatory Bowel Disease
FZ15,Major Procedures for Inflammatory Bowel Disease
FZ16,Very Major Procedures for Gastrointestinal Bleed
FZ17,Abdominal Hernia Procedures
FZ18,Inguinal Umbilical or Femoral Hernia Repairs
FZ19,Herniotomy Procedures
FZ20,Appendicectomy Procedures
FZ21,Major Anal Procedures
FZ22,Intermediate Anal Procedures
FZ23,Minor Anal Procedures
FZ24,Major Therapeutic Open or Endoscopic Procedures
FZ25,Therapeutic Endoscopic or Intermediate Stomach or Duodenum Procedures
FZ26,Endoscopic or Intermediate Large Intestine Procedures
FZ27,Endoscopic or Intermediate General Abdominal Procedures
FZ28,Endoscopic or Intermediate Procedures for Inflammatory Bowel Disease
FZ29,Major or Therapeutic Endoscopic Procedures for Gastrointestinal Bleed
FZ30,Diagnostic Endoscopic or Intermediate Procedures for Gastrointestinal Bleed
FZ31,Disorders of the Oesophagus
FZ32,Stomach or Duodenum Disorders
FZ33,Small Intestinal Disorders (excluding Inflammatory Bowel Disease)
FZ34,Large Intestinal Disorders
FZ35,General Abdominal Disorders
FZ36,Intestinal Infectious Disorders
FZ37,Inflammatory Bowel Disease
FZ38,Gastrointestinal Bleed
FZ39,Hernia Disorders
FZ40,Appendix Disorders
FZ41,Anal Disorders
GA01,Hepatobiliary Transplant
GA02,Hepatobiliary Procedures category 8
GA03,Hepatobiliary Procedures category 7
GA04,Hepatobiliary Procedures category 6
GA05,Hepatobiliary Procedures category 5
GA06,Hepatobiliary Procedures category 4
GA07,Hepatobiliary Procedures category 3
GA08,Hepatobiliary Procedures category 2
GA09,Hepatobiliary Procedures category 1
GA10,Open or Laparoscopic Cholecystectomy
GB01,Endoscopic/Radiology category 4
GB02,Endoscopic/Radiology category 3
GB03,Endoscopic/Radiology category 2
GB04,Endoscopic/Radiology category 1
GB05,Endoscopic Retrograde Cholangiopancreatography category 3
GB06,Endoscopic Retrograde Cholangiopancreatography category 2
GB07,Endoscopic Retrograde Cholangiopancreatography category 1
GC01,Liver Failure Disorders
GC02,Liver and Pancreatic Disorders category 6
GC03,Liver and Pancreatic Disorders category 5
GC04,Liver and Pancreatic Disorders category 4
GC05,Liver and Pancreatic Disorders category 3
GC06,Liver and Pancreatic Disorders category 2
GC07,Liver and Pancreatic Disorders category 1
HA01,Reconstruction Procedures Category 6
HA02,Reconstruction Procedures Category 5
HA03,Reconstruction Procedures Category 4
HA04,Reconstruction Procedures Category 3
HA05,Reconstruction Procedures Category 2
HA06,Reconstruction Procedures Category 1
HA11,Major Hip Procedures Category 2 for Trauma
HA12,Major Hip Procedures Category 1 for Trauma
HA13,Intermediate Hip Procedures for Trauma
HA14,Minor Hip Procedures for Trauma
HA21,Major Knee Procedures Category 2 for Trauma
HA22,Major Knee Procedures Category 1 for Trauma
HA23,Intermediate Knee Procedures Category 2 for Trauma
HA24,Intermediate Knee Procedures Category 1 for Trauma
HA25,Minor Knee Procedures Category 2 for Trauma
HA26,Minor Knee Procedures Category 1 for Trauma
HA31,Major Foot Procedures for Trauma
HA32,Intermediate Foot Procedures for Trauma Category 2
HA33,Intermediate Foot Procedures for Trauma Category 1
HA34,Minor Foot Procedures for Trauma Category 2
HA35,Minor Foot Procedures for Trauma Category 1
HA41,Major Arm Procedures for Trauma Category 2
HA42,Major Arm Procedures for Trauma Category 1
HA43,Intermediate Arm Procedures for Trauma Category 2
HA44,Intermediate Arm Procedures for Trauma Category 1
HA45,Minor Arm Procedures for Trauma Category 2
HA46,Minor Arm Procedures for Trauma Category 1
HA51,Major Hand Procedures for Trauma Category 2
HA52,Major Hand Procedures for Trauma Category 1
HA53,Intermediate Hand Procedures for Trauma Category 2
HA54,Intermediate Hand Procedures for Trauma Category 1
HA55,Minor Hand Procedures for Trauma Level Category 2
HA56,Minor Hand Procedures for Trauma Level Category 1
HA84,Traumatic Amputations
HA91,Hip Trauma Diagnosis without Procedure
HA92,Knee Trauma Diagnosis without Procedure
HA93,Foot Trauma Diagnosis without Procedure
HA94,Arm Trauma Diagnosis without Procedure
HA95,Hand Trauma Diagnosis without Procedure
HA96,Multiple Trauma Diagnoses without Procedure
HA97,Other Trauma Diagnosis without Procedure
HA99,Other Procedures for Trauma
HB11,Major Hip Procedures for non Trauma Category 2
HB12,Major Hip Procedures for non Trauma Category 1
HB13,Intermediate Hip Procedures for non Trauma Category 2
HB14,Intermediate Hip Procedures for non Trauma Category 1
HB15,Minor Hip Procedures for non Trauma Category 2
HB16,Minor Hip Procedures for non Trauma Category 1
HB21,Major Knee Procedures for non Trauma Category 2
HB22,Major Knee Procedures for non Trauma Category 1
HB23,Intermediate Knee Procedures for non Trauma
HB24,Minor Knee Procedures for non Trauma Category 2
HB25,Minor Knee Procedures for non Trauma Category 1
HB31,Major Foot Procedures for non -Trauma
HB32,Intermediate Foot Procedures for non -Trauma Category 2
HB33,Intermediate Foot Procedures for Non -Trauma Category 1
HB34,Minor Foot Procedures for Non -Trauma Category 2
HB35,Minor Foot Procedures for Non -Trauma Category 1
HB41,Major Arm Procedures for non Trauma
HB42,Intermediate Arm Procedures for non Trauma Category 2
HB43,Intermediate Arm Procedures for non Trauma Category 1
HB44,Minor Arm Procedures for non Trauma Category 2
HB45,Minor Arm Procedures for non Trauma Category 1
HB51,Major Hand Procedures for non Trauma Category 2
HB52,Major Hand Procedures for non Trauma Category 1
HB53,Intermediate Hand Procedures for non Trauma Category 2
HB54,Intermediate Hand Procedures for non Trauma Category 1
HB55,Minor Hand Procedures for non Trauma Category 2
HB56,Minor Hand Procedures for non Trauma Category 1
HB91,Other non Trauma Diagnosis without Procedure
HB99,Other Procedures for non Trauma
HC01,Extradural Spine Major 2
HC02,Extradural Spine Major 1
HC03,Extradural Spine Intermediate 2
HC04,Extradural Spine Intermediate 1
HC05,Extradural Spine Minor 2
HC06,Extradural Spine Minor 1
HC07,Intradural Spine Major 2
HC08,Intradural Spine Major 1
HC09,Intradural Spine Intermediate 2
HC10,Intradural Spine Intermediate 1
HC11,Intradural Spine Minor 2
HC12,Intradural Spine Minor 1
HC20,Vertebral Column Injury without Procedure
HC21,Spinal Cord Injury without Procedure
HC22,Cervical Spinal Disorders
HC23,Spinal Tumours
HC24,Thoracic or Lumbar Spinal Disorders
HC25,Non-Traumatic Spinal Cord Disorders
HC26,Scoliosis or Other Spinal Deformity
HC91,Spine Trauma Diagnosis without Procedure
HC92,Spine non Trauma Diagnosis without Procedure
HD21,Soft Tissue Disorders
HD23,"Inflammatory Spine, Joint or Connective Tissue Disorders"
HD24,Non-Inflammatory Bone or Joint Disorders
HD25,Infections of Bones or Joints
HD26,Musculoskeletal Signs and Symptoms
HD31,"Sprains, Strains, or Minor Open Wounds"
HD32,"Major Cranial, Visceral or Blood Vessel Injury"
HD35,Other Wounds or Injuries
HD36,Pathological Fractures or Malignancy of Bone and Connective Tissue
HD37,Head Injury
JA01,Free Perforator Breast Reconstruction
JA02,Free Myocutaneous Breast Reconstruction
JA03,Pedicled TRAM Reconstruction of Breast
JA04,Pedicled Myocutaneous Breast Reconstruction with Insertion of Prosthesis
JA05,Pedicled Myocutaneous Breast Reconstruction without Insertion of Prosthesis
JA06,Major Breast Procedures category 3
JA07,Major Breast Procedures category 2
JA08,Major Breast Procedures category 1
JA09,Intermediate Breast Procedures
JA10,Minor Breast Procedures category 2
JA11,Minor Breast Procedures category 1
JA12,Malignant Breast Disorders
JA13,Non-Malignant Breast Disorders
JB01,"Major Burn, Third degree or more than 19% TBSA or Affecting Multiple Body Regions"
JB11,Other Burn with Multiple Significant Graft Procedures
JB12,Other Burn with One Significant Graft Procedure
JB13,Other Burn with Other Procedure
JB21,Other Burn without Other Procedure
JC01,Major Multiple Skin Procedures
JC02,Major Skin Procedures category 2
JC03,Major Skin Procedures category 1
JC04,Intermediate Skin Procedures
JC05,Minor Skin Procedures category 3
JC06,Minor Skin Procedures category 2
JC07,Minor Skin Procedures category 1
JC09,Patch Tests
JC10,Investigative procedures 2
JC11,Investigative procedures 3
JC12,Urticaria tests
JC13,Photo Tests
JC14,Skin Therapies level 2
JC15,Skin Therapies level 3
JC16,Skin Therapies level 4
JC17,Skin Therapies level 5
JC18,Electrical and other invasive therapy 2
JC19,Electrical and other invasive therapy 4
JC20,Electrical and other invasive therapy 3
JC27,Nursing Procedures & Dressings 1
JC29,Phototherapy
JC30,Minor Laser Therapy
JC32,Photochemotherapy
JD01,Major Skin disorders category 2
JD02,Major Skin disorders category 1
JD03,Intermediate Skin disorders
JD04,Minor Skin disorders category 3
JD05,Minor Skin disorders category 2
JD06,Minor Skin disorders category 1
KA01,Major Thyroid Procedures
KA02,Minor Thyroid Procedures
KA03,Parathyroid Procedures
KA04,Adrenal Procedures
KA05,Anterior Pituitary Disorders
KA06,Non Pituitary Neoplasia and Hypoplasia
KA07,Non-Surgical Thyroid Disorders
KA08,Other Endocrine Disorders
KB01,Diabetes with Hypoglycaemic Disorders
KB02,Diabetes with Hyperglycaemic Disorders
KB03,Diabetes with Lower Limb Complications
KC01,Electrolyte Disorders
KC02,Fluid Disorders
KC03,Disorders of Nutrition
KC04,Inborn Errors of Metabolism
LA01,Kidney Transplant from Cadaver non-Heart beating donor
LA02,Kidney Transplant from Cadaver Heart beating donor
LA03,Kidney Transplant from Live donor
LA04,Kidney or Urinary Tract Infections
LA05,Renal Replacement Associated Procedures
LA07,Acute Renal Failure
LA08,Chronic Renal Failure
LA09,General Renal Disorders
LA10,Live Kidney donor screening
LA11,Kidney pre-transplantation work-up of live donor
LA12,Kidney pre-transplantation work-up of recipient
LA13,Examination for post-transplantation of Kidney of recipient
LA14,Examination for post-transplantation of Kidney of live donor
LB01,Percutaneous Nephrostomy
LB02,Kidney Major Open Procedure
LB03,Laparoscopic Operations on Kidney and Ureter
LB04,Kidney Major Endoscopic Procedure
LB05,"Kidney Intermediate, Endoscopic and Percutaneous Interventions"
LB06,"Non-OR Admission for Kidney, Urinary Tract and Prostate Neoplasms"
LB07,Ureter Open Procedure
LB08,Ureter Major Endoscopic Procedure
LB09,Ureter Intermediate Endoscopic Procedure
LB10,Bladder Major Open Procedures / Reconstruction
LB11,Urinary Diversion without Cystectomy
LB12,Bladder Intermediate Open Procedure
LB13,Bladder Major Endoscopic Procedure
LB14,Bladder Intermediate Endoscopic Procedure
LB15,Bladder Minor Procedure
LB16,Lower Urinary Tract Findings
LB17,Introduction of Therapeutic Substance into Bladder
LB18,Bladder / Urinary Mechanical Problems
LB19,Ureteric / Bladder Disorders
LB20,"Infection and Mechanical Problems Related to Genito-Urinary Prostheses, Implants and Grafts"
LB21,Bladder Neck Open Procedures - Male
LB22,Laparoscopic Bladder Neck Procedures - Male
LB23,Bladder Neck Open Procedures - Female
LB24,Laparoscopic Bladder Neck Procedures - Female
LB25,Prostate Transurethral Resection Procedure
LB26,Prostate / Bladder Neck Intermediate Endoscopic Procedure - Male and Female
LB27,"Prostate or Bladder Neck Minor Endoscopic Procedure - Male, with length of stay 1 day or less"
LB28,Non-Malignant Prostate Disorders
LB29,Urethra Major Open Procedures
LB30,Urethra Disorders and Intermediate / Minor Procedures
LB31,Penis Major / Intermediate Open Procedures
LB32,Penile Conditions and Minor Procedures
LB33,Vasectomy Procedures
LB34,"Scrotum, Testis or Vas Deferens Open Procedures"
LB35,"Scrotum, Testis or Vas Deferens Disorders"
LB36,Extracorporeal Lithotripsy
LB37,Miscellaneous Urinary Tract Findings
LB38,Unspecified Haematuria
LB39,Cystectomy with Urinary Diversion and Reconstruction
LB40,Urinary Tract Stone Disease
LB42,Dynamic Studies of Urinary Tract
LB43,Treatment of Erectile Dysfunction
LB44,Non-Operative Interventions of Genital Organs and Perineum - Male
LB45,Retroperitoneal Lymph Node Dissection
LC01,Haemodialysis/Filtration on patient with Hepatitis B
LC02,Haemodialysis/Filtration
LC03,Peritoneal Dialysis on patient with Hepatitis B
LC04,Peritoneal Dialysis
MA01,Lower and Upper Genital Tract Very Complex Major Procedures
MA02,Lower and Upper Genital Tract Complex Major Procedures
MA03,Lower Genital Tract Major Procedures
MA04,Lower Genital Tract Intermediate Procedures
MA05,Lower Genital Tract Minor Procedures
MA06,Open Major Upper and Lower Genital Tract Procedures with malignancy
MA07,Upper Genital Tract Major Procedures without malignancy
MA08,Upper Genital Tract Laparoscopic / Endoscopic Major Procedures
MA09,Upper Genital Tract Laparoscopic / Endoscopic Intermediate Procedures
MA10,Upper Genital Tract Laparoscopic / Endoscopic Minor Procedures
MA11,Upper Genital Tract Intermediate Procedures
MA12,Resection and ablation procedures for intra-uterine lesions
MA13,Upper Genital Tract Minor Procedures
MA15,Vacuum Aspiration with Rigid Cannula
MA16,Vacuum Aspiration with Flexible Cannula
MA17,Dilation and evacuation
MA18,Medical Termination of Pregnancy
MB01,Lower Genital Tract Disorders
MB02,Genital Prolapse or Incontinence
MB03,"Uterus (including Fibroids) Disorders, Menstrual Disorders or Endometriosis"
MB04,"Ovary, Fallopian Tube or Pelvic Disorders"
MB05,Gynaecological Malignancy
MB06,Other Gynaecological Conditions
MB08,Threatened or Spontaneous Miscarriage
MC01,Intra-uterine insemination with super ovulation
MC02,Intra-uterine insemination without super ovulation
MC03,IVF Treatment
MC04,IVF Treatment with donor
MC05,IVF Treatment with Intra Cytoplasmatic Sperm Injection
NZ01,Normal delivery
NZ02,Assisted delivery
NZ03,Caesarean Section
NZ04,Ante-natal or Post-natal Observation with length of stay 0 days
NZ05,Ante-natal or Post-natal Investigation with length of stay 0 days
NZ06,Ante-natal or Post-natal Full Investigation with length of stay 0 days
NZ07,Ante-natal or Post-natal Observation with length of stay 1 day or more
NZ08,Ante-natal or Post-natal Investigation with length of stay 1 day or more
NZ09,Ante-natal or Post-natal Full Investigation with length of stay 1 day or more
NZ92,Enables direct mapping to NZ02A
NZ93,Enables direct mapping to NZ03A
PA01,Nervous System Disorders
PA02,Epilepsy Syndrome
PA03,Febrile Convulsions
PA04,Headaches and Migraines
PA05,Developmental Disorders
PA06,Head Injury with Intracranial Injury
PA07,Head Injury without Intracranial Injury
PA08,Intermediate Injury without Intracranial Injury
PA09,Major Upper Respiratory Tract Disorders
PA10,Minor Upper Respiratory Tract Disorders
PA11,Acute Upper Respiratory Tract Infection and Common Cold
PA12,Asthma or Wheezing
PA13,Cystic Fibrosis
PA14,Lower Respiratory Tract Disorders without Acute Bronchiolitis
PA15,Acute Bronchiolitis
PA16,Major Infections
PA17,Intermediate Infections
PA18,Minor Infections
PA19,Viral Infections
PA20,Pyrexia of unknown origin
PA21,Infectious and Non-Infectious Gastroenteritis
PA22,Chest Pain
PA23,Cardiac Conditions
PA24,Arrhythmia or Conduction Disorders
PA25,Major Gastrointestinal or Metabolic Disorders
PA26,Other Gastrointestinal or Metabolic Disorders
PA27,Inflammatory Bowel Disease
PA28,Feeding Difficulties and Vomiting
PA29,Abdominal Pain
PA30,Faltering Growth (Failure to Thrive)
PA31,Major Injury without Intracranial Injury
PA32,Minor Injury without Intracranial Injury
PA33,Intermediate Upper Respiratory Tract Disorders
PA34,Musculoskeletal or Connective Tissue Disorders
PA35,Skin Disorders
PA36,Endocrine Disorders (excluding Diabetes Mellitus)
PA37,Diabetes Mellitus
PA38,Renal Disease with Renal Failure
PA39,Renal Diseases
PA40,Acute Lymphoblastic Leukaemia with length of stay 1 day or more
PA41,Other Haematological Malignancies with length of stay 1 day or more
PA42,Brain Tumours with length of stay 1 day or more
PA43,Other Neoplasms with length of stay 1 day or more
PA44,Neoplasm diagnoses with length of stay 0 days
PA45,Febrile Neutropenia with Malignancy
PA46,Paediatric Thalassaemia
PA47,Sickle-cell Anaemia with Crisis
PA48,Blood Cell Disorders
PA49,Coagulation Disorders
PA50,Ingestion Poisoning or Allergies
PA51,Child Safeguarding (welfare and protection)
PA52,Behavioural Disorders
PA53,Eating Disorders
PA54,Convalescent or other relief care
PA55,Respite Care
PA56,Paediatric admission for unexplained symptoms
PA57,"Examination, follow-up, special screening and other admissions with length of stay 1 day or more"
PA58,"Examination, follow-up, special screening and other admissions with length of stay 0 days"
PA59,Major Congenital Conditions
PA60,Other Congenital Conditions
PB01,Major Neonatal Diagnoses
PB02,Minor Neonatal Diagnoses
PB03,Healthy Baby
QZ01,Aortic or Abdominal Surgery
QZ02,Lower Limb Arterial Surgery
QZ03,Bypasses to Tibial Arteries
QZ04,Extracranial or Upper Limb Arterial Surgery
QZ05,Miscellaneous Vascular Procedures
QZ06,Varicose Veins with Ulcer or with CC
QZ07,Redo Bilateral Varicose Vein Procedures
QZ08,Redo Unilateral Varicose Vein Procedures
QZ09,Primary Bilateral Varicose Vein Procedures
QZ10,Primary Unilateral Varicose Vein Procedures
QZ11,Amputations
QZ12,"Foot Procedures for Diabetes or Arterial Disease, and Procedures to Amputation Stumps"
QZ13,Vascular Access for Renal Replacement Therapy
QZ14,Vascular Access except for Renal Replacement Therapy
QZ15,Therapeutic Endovascular Procedures
QZ16,Diagnostic Vascular Radiology and other transluminal Procedures
QZ17,Non-Surgical Peripheral Vascular Disease
QZ18,Procedures on the Lymphatic System
QZ19,Blood vessel injury with no significant procedure
RA01,"Magnetic Resonance Imaging Scan, one area, no contrast"
RA02,"Magnetic Resonance Imaging Scan, one area, post contrast only"
RA03,"Magnetic Resonance Imaging Scan, one area, pre and post contrast"
RA04,"Magnetic Resonance Imaging Scan, two - three areas, no contrast"
RA05,"Magnetic Resonance Imaging Scan, two - three areas, with contrast"
