hrg_root,hrg_root_description
BZ52,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under"
BZ53,"Very Major, Orbit or Lacrimal Procedures, 19 years and over"
BZ54,"Major, Orbit or Lacrimal Procedures, 19 years and over"
BZ55,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under"
BZ56,"Intermediate, Orbit or Lacrimal Procedures"
BZ57,"Minor, Orbit or Lacrimal Procedures"
BZ60,"Very Complex, Cornea or Sclera Procedures"
BZ61,"Complex, Cornea or Sclera Procedures"
BZ62,"Very Major, Cornea or Sclera Procedures"
BZ63,"Major, Cornea or Sclera Procedures"
BZ64,"Intermediate, Cornea or Sclera Procedures"
BZ65,"Minor, Cornea or Sclera Procedures"
BZ70,Complex Ocular Motility Procedures
BZ71,Very Major Ocular Motility Procedures
BZ72,Major Ocular Motility Procedures
BZ73,Intermediate Ocular Motility Procedures
BZ74,Minor Ocular Motility Procedures
BZ80,"Very Complex Vitreous Retinal Procedures, 19 years and over"
BZ81,"Complex Vitreous Retinal Procedures, 19 years and over"
BZ82,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under"
BZ83,"Very Major Vitreous Retinal Procedures, 19 years and over"
BZ84,"Major Vitreous Retinal Procedures, 19 years and over"
BZ85,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under"
BZ86,Intermediate Vitreous Retinal Procedures
BZ87,Minor Vitreous Retinal Procedures
BZ88,Retinal Tomography
BZ89,Digital Retinal Photography
BZ90,"Very Complex, Glaucoma or Iris Procedures"
BZ91,"Complex, Glaucoma or Iris Procedures"
BZ92,"Very Major, Glaucoma or Iris Procedures"
BZ93,"Major, Glaucoma or Iris Procedures"
BZ94,"Intermediate, Glaucoma or Iris Procedures"
BZ95,"Minor, Glaucoma or Iris Procedures"
CA01,Complex Neck Procedures
CA02,Very Major Neck Procedures
CA03,Major Neck Procedures
CA04,Intermediate Neck Procedures
CA05,Minor Neck Procedures
CA10,Septorhinoplasty
CA11,Septoplasty
CA12,Major Treatment of Epistaxis
CA13,Minor Treatment of Epistaxis
CA14,Nasal Polypectomy
CA15,"Excision or Biopsy, of Lesion of Internal Nose"
CA16,"Excision or Biopsy, of Lesion of External Nose"
CA20,Complex Nose Procedures
CA21,Very Major Nose Procedures
CA22,Major Nose Procedures
CA23,Intermediate Nose Procedures
CA24,Minor Nose Procedures
CA25,Minimal Nose Procedures
CA26,Complex Sinus Procedures
CA27,Major Sinus Procedures
CA28,Intermediate Sinus Procedures
CA29,Minor Sinus Procedures
CA30,"Radical or Revisional, Mastoid Procedures"
CA31,"Simple or Cortical, Mastoid Procedures"
CA32,Tympanoplasty
CA33,Pinnaplasty
CA34,"Excision or Biopsy, of Lesion of External Ear"
CA35,Insertion of Grommets
CA36,Clearance of External Auditory Canal
CA37,Audiometry or Hearing Assessment
CA38,Evoked Potential Recording
CA39,Fixture for Bone Anchored Hearing Aids
CA40,Fitting of Bone Anchored Hearing Aids
CA41,Bilateral Cochlear Implants
CA42,Unilateral Cochlear Implant
CA43,Balance Assessment
CA50,Complex Ear Procedures
CA51,Very Major Ear Procedures
CA52,Major Ear Procedures
CA53,Intermediate Ear Procedures
CA54,Minor Ear Procedures
CA55,Minimal Ear Procedures
CA60,Tonsillectomy
CA61,Adenotonsillectomy
CA62,Adenoidectomy
CA63,Tracheostomy
CA64,Uvulopalatoplasty or Uvulopalatopharyngoplasty
CA65,Frenotomy or Frenectomy
CA66,"Excision or Biopsy, of Lesion of Mouth"
CA67,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures"
CA68,"Therapeutic Endoscopic, Larynx or Pharynx Procedures"
CA69,"Diagnostic, Laryngoscopy or Pharyngoscopy"
CA70,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract
CA71,Diagnostic Nasopharyngoscopy
CA80,"Very Complex, Mouth or Throat Procedures"
CA81,"Complex, Mouth or Throat Procedures"
CA82,"Very Major, Mouth or Throat Procedures"
CA83,"Major, Mouth or Throat Procedures"
CA84,"Intermediate, Mouth or Throat Procedures"
CA85,"Minor, Mouth or Throat Procedures"
CA86,"Minimal, Mouth or Throat Procedures"
CA90,Very Complex Maxillofacial Procedures
CA91,Complex Maxillofacial Procedures
CA92,Very Major Maxillofacial Procedures
CA93,Major Maxillofacial Procedures
CA94,Intermediate Maxillofacial Procedures
CA95,Minor Maxillofacial Procedures
CA96,"Reduction or Fixation, of Jaw"
CA97,"Reduction or Fixation, of Cheekbone"
CA98,Reduction of Fracture of Nasal Bone
CB01,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders"
CB02,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders"
CD01,Major Dental Procedures
CD02,Intermediate Dental Procedures
CD03,Minor Dental Procedures
CD04,Major Surgical Removal of Tooth
CD05,Surgical Removal of Tooth
CD06,Extraction of Multiple Teeth
CD07,Minor Extraction of Tooth
CD08,Minor Dental Biopsy
CD09,Minor Dental Restoration Procedures
CD10,Creation of Dental Impression
CD11,Dental Fitting or Insertion Procedures
CD12,Adjustment of Dental Device
DZ01,Lung Transplant
DZ02,Complex Thoracic Procedures
DZ09,Pulmonary Embolus
DZ10,Lung Abscess-Empyema
DZ11,"Lobar, Atypical or Viral Pneumonia"
DZ12,Bronchiectasis
DZ13,Cystic Fibrosis
DZ14,"Pulmonary, Pleural or Other Tuberculosis"
DZ15,Asthma
DZ16,Pleural Effusion
DZ17,Respiratory Neoplasms
DZ18,Sleep Disorders Affecting Breathing
DZ19,Other Respiratory Disorders
DZ20,Pulmonary Oedema
DZ22,Unspecified Acute Lower Respiratory Infection
DZ23,Bronchopneumonia
DZ24,"Inhalation, Lung Injury or Foreign Body"
DZ25,Fibrosis or Pneumoconiosis
DZ26,Pneumothorax or Intrathoracic Injuries
DZ27,Respiratory Failure
DZ28,Pleurisy
DZ29,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease"
DZ30,Chest Physiotherapy
DZ31,Cardiopulmonary Exercise Testing
DZ32,Field Exercise Testing
DZ33,Hyperbaric Oxygen Treatment
DZ36,Bronchial Challenge Studies
DZ37,Non-Invasive Ventilation Support Assessment
DZ38,Oxygen Assessment and Monitoring
DZ42,TB Nurse Support
DZ45,Lung Volume Studies
DZ46,Respiratory Muscle Strength Studies
DZ49,"Respiratory Nurse or AHP, Education or Support"
DZ50,Respiratory Sleep Study
DZ51,Complex Tuberculosis
DZ52,Full Pulmonary Function Testing
DZ55,Bronchodilator Studies
DZ56,Carbon Monoxide Transfer Factor Test
DZ57,Oximetry or Blood Gas Studies
DZ58,Alveolar Carbon Monoxide Measurement or Smoking Cessation Support
DZ59,Airflow Studies
DZ60,Hypoxic (Altitude) or Hyperoxic (Shunt) Assessment
DZ62,Very Complex Thoracic Procedures
DZ63,Major Thoracic Procedures
DZ64,Intermediate Thoracic Procedures
DZ65,Chronic Obstructive Pulmonary Disease or Bronchitis
DZ66,Complex Therapeutic Bronchoscopy
DZ67,Major Therapeutic Bronchoscopy
DZ68,Therapeutic Bronchoscopy
DZ69,Diagnostic Bronchoscopy
DZ70,Endobronchial Ultrasound Examination of Mediastinum
DZ71,Minor Thoracic Procedures
EB02,Endocarditis
EB03,Heart Failure or Shock
EB04,Hypertension
EB05,Cardiac Arrest
EB06,Cardiac Valve Disorders
EB07,Arrhythmia or Conduction Disorders
EB08,Syncope or Collapse
EB09,Non-Interventional Congenital Cardiac Conditions
EB10,Actual or Suspected Myocardial Infarction
EB12,Unspecified Chest Pain
EB13,Angina
EB14,Other Acquired Cardiac Conditions
EB15,Primary Pulmonary Hypertension
EC10,Very Complex Procedures for Congenital Heart Disease
EC11,Complex Procedures for Congenital Heart Disease
EC12,Very Major Procedures for Congenital Heart Disease
EC13,Major Procedures for Congenital Heart Disease
EC14,Intermediate Procedures for Congenital Heart Disease
EC15,Minor Procedures for Congenital Heart Disease
EC20,Diagnostic Percutaneous Intervention for Congenital Heart Disease
EC21,Complex Echocardiogram for Congenital Heart Disease
EC22,"Electrocardiogram Monitoring or Stress Testing, for Congenital Heart Disease"
ED01,Heart and Lung Transplant
ED02,Heart Transplant
ED03,Implantation of Prosthetic Heart or Ventricular Assist Device
ED10,Complex Repair of Descending Thoracic Aorta
ED11,Standard Repair of Descending Thoracic Aorta
ED12,Complex Repair of Aortic Root
ED13,Standard Repair of Aortic Root
ED14,Complex Repair of Ascending Thoracic Aorta
ED15,Standard Repair of Ascending Thoracic Aorta
ED20,"Complex, Repair or Replacement, of Multiple Heart Valves"
ED21,"Standard, Repair or Replacement, of Multiple Heart Valves"
ED22,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair"
ED23,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair"
ED24,"Complex, Single Heart Valve Replacement or Repair"
ED25,"Standard, Single Heart Valve Replacement or Repair"
ED26,Complex Coronary Artery Bypass Graft
ED27,Major Coronary Artery Bypass Graft
ED28,Standard Coronary Artery Bypass Graft
ED30,"Complex, Other Operations on Heart or Pericardium"
ED31,"Standard, Other Operations on Heart or Pericardium"
EY01,Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy
EY02,Implantation of Cardioverter Defibrillator
EY03,Implantation of Biventricular Pacemaker with Other Percutaneous Intervention
EY04,Implantation of Biventricular Pacemaker
EY05,Implantation of Dual-Chamber Pacemaker with Other Percutaneous Intervention
EY06,Implantation of Dual-Chamber Pacemaker
EY07,Implantation of Single-Chamber Pacemaker with Other Percutaneous Intervention
EY08,Implantation of Single-Chamber Pacemaker
EY09,Removal of Cardiac Pacemaker or Cardioverter Defibrillator
EY10,Attention to Cardiac Pacemaker or Cardioverter Defibrillator
EY11,Testing of Cardiac Pacemaker or Cardioverter Defibrillator
EY12,Implantation of Electrocardiography Loop Recorder
EY13,Removal of Electrocardiography Loop Recorder
EY20,Transcatheter Aortic Valve Implantation (TAVI) using Other Approach
EY21,Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach
EY22,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart
EY23,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart
EY30,Complex Percutaneous Transluminal Ablation of Heart
EY31,Standard Percutaneous Transluminal Ablation of Heart
EY32,Percutaneous Diagnostic Electrophysiology Studies
EY40,Complex Percutaneous Transluminal Coronary Angioplasty
EY41,Standard Percutaneous Transluminal Coronary Angioplasty
EY42,Complex Cardiac Catheterisation
EY43,Standard Cardiac Catheterisation
EY50,Complex Echocardiogram
EY51,Electrocardiogram Monitoring or Stress Testing
FZ12,Major General Abdominal Procedures
FZ13,"Minor Therapeutic or Diagnostic, General Abdominal Procedures"
FZ17,Abdominal Hernia Procedures
FZ18,"Inguinal, Umbilical or Femoral Hernia Procedures"
FZ19,Herniotomy Procedures
FZ20,Appendicectomy Procedures
FZ21,Major Anal Procedures
FZ22,Intermediate Anal Procedures
FZ23,Minor Anal Procedures
FZ24,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures"
FZ27,Intermediate Therapeutic General Abdominal Procedures
FZ36,Gastrointestinal Infections
FZ37,Inflammatory Bowel Disease
FZ38,Gastrointestinal Bleed
FZ42,Wireless Capsule Endoscopy
FZ49,Nutritional Disorders
FZ50,"Intermediate Large Intestine Procedures, 19 years and over"
FZ51,"Diagnostic Colonoscopy, 19 years and over"
FZ52,"Diagnostic Colonoscopy with Biopsy, 19 years and over"
FZ53,"Therapeutic Colonoscopy, 19 years and over"
FZ54,"Diagnostic Flexible Sigmoidoscopy, 19 years and over"
FZ55,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over"
FZ56,"Therapeutic Flexible Sigmoidoscopy, 19 years and over"
FZ57,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over"
FZ58,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures 18 years and under"
FZ59,"Intermediate Upper Gastrointestinal Tract Procedures, 19 years and over"
FZ60,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over"
FZ61,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over"
FZ62,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, 18 years and under"
FZ63,Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures
FZ64,Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy
FZ65,Combined Upper and Lower Gastrointestinal Tract Therapeutic Endoscopic Procedures
FZ66,"Very Major Small Intestine Procedures, 19 years and over"
FZ67,"Major Small Intestine Procedures, 19 years and over"
FZ68,"Very Major or Major, Small Intestine Procedures, 18 years and under"
FZ69,Complex Small Intestine Procedures
FZ70,"Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over"
FZ71,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract
FZ73,Very Complex Large Intestine Procedures
FZ74,"Complex Large Intestine Procedures, 19 years and over"
FZ75,"Proximal Colon Procedures, 19 years and over"
FZ76,"Distal Colon Procedures, 19 years and over"
FZ77,"Major Large Intestine Procedures, 19 years and over"
FZ78,"Complex or Major, Large Intestine Procedures, 18 years and under"
FZ79,Complex General Abdominal Procedures
FZ80,"Very Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over"
FZ81,"Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over"
FZ82,"Very Complex or Complex, Oesophageal, Stomach or Duodenum Procedures, 18 years and under"
FZ83,"Major, Oesophageal, Stomach or Duodenum Procedures"
FZ84,"Stomach Bypass Procedures for Obesity, 19 years and over"
FZ85,Restrictive Stomach Procedures for Obesity
FZ86,"Endoscopic Insertion of Gastric Balloon or Sleeve, for Obesity"
FZ87,Complex Hernia Procedures
FZ89,"Complex Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures"
FZ90,Abdominal Pain
FZ91,Non-Malignant Gastrointestinal Tract Disorders
FZ92,Malignant Gastrointestinal Tract Disorders
FZ93,Endoscopic Insertion of Gastrostomy Tube
FZ94,"Endoscopic Insertion of, Gastrojejunostomy or Jejunostomy Tube"
FZ95,"Endoscopic, Sclerotherapy or Rubber Band Ligation, of Lesion of Upper Gastrointestinal Tract"
FZ96,Insertion of Neurostimulator for Treatment of Faecal Incontinence
FZ97,Insertion of Neurostimulator Electrodes for Treatment of Faecal Incontinence
FZ98,Adjustment of Gastric Band for Obesity
GA01,Hepatobiliary Transplant
GA03,"Very Complex Open, Hepatobiliary or Pancreatic Procedures"
GA04,"Complex Open, Hepatobiliary or Pancreatic Procedures"
GA05,"Very Major Open, Hepatobiliary or Pancreatic Procedures"
GA06,"Major Open, Hepatobiliary or Pancreatic Procedures"
GA07,"Intermediate Open, Hepatobiliary or Pancreatic Procedures"
GA10,Cholecystectomy
GA11,Pancreatic Necrosectomy
GA12,Multi-Organ or Multiple Transplants
GA13,"Minor, Open or Laparoscopic, Hepatobiliary or Pancreatic Procedures"
GB05,Major Therapeutic Endoscopic Retrograde Cholangiopancreatography
GB06,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography
GB09,Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography
GB10,"Diagnostic Endoscopic Retrograde Cholangiopancreatography, with Biopsy or Cytology"
GB11,Diagnostic Endoscopic Retrograde Cholangiopancreatography
GB12,"Endoscopic Ultrasound Examination, of Hepatobiliary or Pancreatic Duct, with Biopsy or Cytology"
GB13,"Endoscopic Ultrasound Examination, of Hepatobiliary or Pancreatic Duct"
GC01,Liver Failure Disorders
GC12,"Malignant, Hepatobiliary or Pancreatic Disorders"
GC17,"Non-Malignant, Hepatobiliary or Pancreatic Disorders"
GC18,Non-Obstructive Jaundice
HC20,Vertebral Column Injury
HC21,Spinal Cord Injury
HC26,Scoliosis or Other Spinal Deformity
HC27,Degenerative Spinal Conditions
HC28,Spinal Cord Conditions
HC29,Inflammatory Spinal Conditions
HC30,Spinal Tumours
HC31,Spinal Infection
HC32,Low Back Pain
HC50,Very Complex Instrumented Correction of Spinal Deformity
HC51,Complex Instrumented Correction of Spinal Deformity
HC52,Complex Spinal Reconstructive Procedures
HC53,Very Major Spinal Reconstructive Procedures
HC54,Major Spinal Reconstructive Procedures
HC60,Very Complex Extradural Spinal Procedures
HC61,Complex Extradural Spinal Procedures
HC62,Very Major Extradural Spinal Procedures
HC63,Major Extradural Spinal Procedures
HC64,Intermediate Extradural Spinal Procedures
HC65,Minor Extradural Spinal Procedures
HC70,Complex Intradural Spinal Procedures
HC71,Major Intradural Spinal Procedures
HC72,Diagnostic Spinal Puncture
HD21,Soft Tissue Disorders
HD23,"Inflammatory, Spine, Joint or Connective Tissue Disorders"
HD24,"Non-Inflammatory, Bone or Joint Disorders"
HD25,Infections of Bones or Joints
HD26,Musculoskeletal Signs or Symptoms
HD39,Pathological Fractures
HD40,"Malignancy, of Bone or Connective Tissue"
HE11,Hip Fracture
HE12,Other Injury of Hip
HE21,Knee Fracture
HE22,Other Injury of Knee
HE31,Foot Fracture
HE32,Other Injury of Foot
HE41,Hand Fracture
HE42,Other Injury of Hand
HE51,Arm Fracture
HE52,Other Injury of Arm
HE71,Rib or Chest Fracture
HE72,"Other Injury, of Rib or Chest"
HE81,"Infection or Inflammatory Reaction, due to, Internal Orthopaedic Prosthetic Devices, Implants or Grafts"
HE82,"Other Complications of, Internal Orthopaedic Prosthetic Devices, Implants or Grafts"
HE83,Early Complications of Trauma or Injury of Non-Specific Joint Site
HN12,Very Major Hip Procedures for Non-Trauma
HN13,Major Hip Procedures for Non-Trauma
HN14,Intermediate Hip Procedures for Non-Trauma
HN15,Minor Hip Procedures for Non-Trauma
HN16,Minimal Hip Procedures
HN22,Very Major Knee Procedures for Non-Trauma
HN23,Major Knee Procedures for Non-Trauma
HN24,Intermediate Knee Procedures for Non-Trauma
HN25,Minor Knee Procedures for Non-Trauma
HN26,Minimal Knee Procedures
HN32,Very Major Foot Procedures for Non-Trauma
HN33,Major Foot Procedures for Non-Trauma
HN34,Intermediate Foot Procedures for Non-Trauma
HN35,Minor Foot Procedures for Non-Trauma
HN36,Minimal Foot Procedures
HN42,Very Major Hand Procedures for Non-Trauma
HN43,Major Hand Procedures for Non-Trauma
HN44,Intermediate Hand Procedures for Non-Trauma
HN45,Minor Hand Procedures for Non-Trauma
HN46,Minimal Hand Procedures
HN52,Very Major Shoulder Procedures for Non-Trauma
HN53,Major Shoulder Procedures for Non-Trauma
HN54,Intermediate Shoulder Procedures for Non-Trauma
HN55,Minor Shoulder Procedures for Non-Trauma
HN56,Minimal Shoulder Procedures
HN62,Very Major Elbow Procedures for Non-Trauma
HN63,Major Elbow Procedures for Non-Trauma
HN64,Intermediate Elbow Procedures for Non-Trauma
HN65,Minor Elbow Procedures for Non-Trauma
HN66,Minimal Elbow Procedures
HN80,"Very Complex, Hip or Knee Procedures for Non-Trauma"
HN81,"Complex, Hip or Knee Procedures for Non-Trauma"
HN85,"Very Complex, Foot, Hand, Shoulder or Elbow Procedures for Non-Trauma"
HN86,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Non-Trauma"
HN93,"Other Muscle, Tendon, Fascia or Ligament Procedures"
HT12,Very Major Hip Procedures for Trauma
HT13,Major Hip Procedures for Trauma
HT14,Intermediate Hip Procedures for Trauma
HT15,Minor Hip Procedures for Trauma
HT22,Very Major Knee Procedures for Trauma
HT23,Major Knee Procedures for Trauma
HT24,Intermediate Knee Procedures for Trauma
HT25,Minor Knee Procedures for Trauma
HT32,Very Major Foot Procedures for Trauma
HT33,Major Foot Procedures for Trauma
HT34,Intermediate Foot Procedures for Trauma
HT35,Minor Foot Procedures for Trauma
HT42,Very Major Hand Procedures for Trauma
HT43,Major Hand Procedures for Trauma
HT44,Intermediate Hand Procedures for Trauma
HT45,Minor Hand Procedures for Trauma
HT52,Very Major Shoulder Procedures for Trauma
HT53,Major Shoulder Procedures for Trauma
HT54,Intermediate Shoulder Procedures for Trauma
HT55,Minor Shoulder Procedures for Trauma
HT62,Very Major Elbow Procedures for Trauma
HT63,Major Elbow Procedures for Trauma
HT64,Intermediate Elbow Procedures for Trauma
HT65,Minor Elbow Procedures for Trauma
HT81,"Complex, Hip or Knee Procedures for Trauma"
HT86,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma"
JA12,Malignant Breast Disorders
JA13,Non-Malignant Breast Disorders
JA20,Unilateral Major Breast Procedures
JA21,Bilateral Major Breast Procedures
JA30,Unilateral Delayed Pedicled Myocutaneous Breast Reconstruction
JA31,Bilateral Delayed Pedicled Myocutaneous Breast Reconstruction
JA32,Unilateral Excision of Breast with Immediate Pedicled Myocutaneous Flap Reconstruction
JA33,Bilateral Excision of Breast with Immediate Pedicled Myocutaneous Flap Reconstruction
JA34,Unilateral Delayed Free Perforator Flap Breast Reconstruction
JA35,Bilateral Delayed Free Perforator Flap Breast Reconstruction
JA36,Unilateral Excision of Breast with Immediate Free Perforator Flap Reconstruction
JA37,Bilateral Excision of Breast with Immediate Free Perforator Flap Reconstruction
JA38,Unilateral Major Breast Procedures with Lymph Node Clearance
JA39,Bilateral Major Breast Procedures with Lymph Node Clearance
JA40,Unilateral Therapeutic Mammoplasty
JA41,Bilateral Therapeutic Mammoplasty
JA42,Bilateral Intermediate Breast Procedures
JA43,Unilateral Intermediate Breast Procedures
JA44,Bilateral Minor Breast Procedures
JA45,Unilateral Minor Breast Procedures
JB30,Major burn (TBSA of 60% or more)
JB31,Intermediate Burn (TBSA of 20-59%)
JB32,Minor Burn (TBSA of less than 20%)
JB33,Other Burn
JB99,Enables direct mapping to JB33B
JC40,Multiple Major Skin Procedures
JC41,Major Skin Procedures
JC42,Intermediate Skin Procedures
JC43,Minor Skin Procedures
JC44,Complex Patch Tests
JC45,Standard Patch Tests
JC46,Photodynamic Therapy
JC47,Phototherapy or Photochemotherapy
JD07,Skin Disorders
KA03,Parathyroid Procedures
KA04,Adrenal Procedures
KA05,Anterior Pituitary Disorders
KA06,Non-Pituitary Neoplasia or Hypoplasia
KA07,Non-Surgical Thyroid Disorders
KA08,Other Endocrine Disorders
KA09,Thyroid Procedures
KB01,Diabetes with Hypoglycaemic Disorders
KB02,Diabetes with Hyperglycaemic Disorders
KB03,Diabetes with Lower Limb Complications
KB04,Continuous Subcutaneous Insulin Infusion
KC04,Inborn Errors of Metabolism
KC05,Fluid or Electrolyte Disorders
LA01,Kidney Transplant from Cadaver Non-Heart-Beating Donor
LA02,Kidney Transplant from Cadaver Heart-Beating Donor
LA03,Kidney Transplant from Live Donor
LA04,Kidney or Urinary Tract Infections
LA05,Renal Replacement Peritoneal Dialysis Associated Procedures
LA07,Acute Kidney Injury
LA08,Chronic Kidney Disease
LA09,General Renal Disorders
LA10,Live Kidney Donor Screening
LA11,Kidney Pre-Transplantation Workup of Live Donor
LA12,Kidney Pre-Transplantation Workup of Recipient
LA13,Examination for Post-Transplantation of Kidney of Recipient
LA14,Examination for Post-Transplantation of Kidney of Live Donor
LA97,Same Day Dialysis Admission or Attendance
LB06,"Kidney, Urinary Tract or Prostate Neoplasms"
LB09,Intermediate Endoscopic Ureter Procedures
LB10,Major Open Bladder Procedures or Reconstruction
LB12,Intermediate Open Bladder Procedures
LB13,Major Endoscopic Bladder Procedures
LB14,Intermediate Endoscopic Bladder Procedures
LB15,Minor Bladder Procedures
LB16,Urinary Incontinence or Other Urinary Problems
LB17,Introduction of Therapeutic Substance into Bladder
LB18,Attention to Suprapubic Bladder Catheter
LB19,Ureteric or Bladder Disorders
LB20,"Infection or Mechanical Problems Related to Genito-Urinary Prostheses, Implants or Grafts"
LB21,"Major Open, Prostate or Bladder Neck Procedures (Male)"
LB22,"Major Laparoscopic, Prostate or Bladder Neck Procedures (Male)"
LB25,Transurethral Prostate Resection Procedures
LB26,"Intermediate Endoscopic, Prostate or Bladder Neck Procedures (Male and Female)"
LB28,Non-Malignant Prostate Disorders
LB29,Major Open Urethra Procedures
LB33,Vasectomy Procedures
LB35,"Scrotum, Testis or Vas Deferens Disorders"
LB36,Extracorporeal Lithotripsy
LB37,Miscellaneous Urinary Tract Findings
LB38,Unspecified Haematuria
LB39,Cystectomy with Urinary Diversion and Reconstruction
LB40,Urinary Tract Stone Disease
LB42,Dynamic Studies of Urinary Tract
LB43,Treatment of Erectile Dysfunction
LB46,Live Donation of Kidney
LB47,Major Open Penis Procedures
LB48,Intermediate Open Penis Procedures
LB49,High Intensity Focused Ultrasound (Male and Female)
LB50,Implantation of Artificial Urinary Sphincter (Male and Female)
LB51,Vaginal Tape Operations for Urinary Incontinence
LB52,"Major Open, Scrotum, Testis or Vas Deferens Procedures"
LB53,"Intermediate Open, Scrotum, Testis or Vas Deferens Procedures"
LB54,"Minor, Scrotum, Testis or Vas Deferens Procedures"
LB55,"Minor or Intermediate, Urethra Procedures"
LB56,Minor Penis Procedures
LB57,Urethral Disorders
